policy,removed_lot,macro_aurc,macro_random_aurc,relative_reduction_vs_random,worst_lot_aurc,lots_worse_than_random,median_policy_minus_random,excluded_lot_of_interest
delta,10,0.13237378099583996,0.146409791626241,0.0958679776434116,0.17853306804230643,3,-0.00877017667974022,8
disagreement,none,0.13206918849484356,0.14191073227819412,0.06935024310957494,0.17439250126445252,5,-0.0008417109400212439,8
disagreement,1,0.12736659818710924,0.13955187599728175,0.08731719099505231,0.15819699184406258,4,-0.0008417109400212439,8
disagreement,2,0.13639997067564158,0.14603858077030873,0.06600043662316113,0.17439250126445252,5,-0.0008417109400212439,8
disagreement,3,0.13070302569160072,0.14196485184681057,0.07932827040429768,0.17439250126445252,4,-0.0008417109400212439,8
disagreement,4,0.133284978015083,0.14153834743404575,0.058311896165162413,0.17439250126445252,5,-0.0008417109400212439,8
disagreement,5,0.1316151719141842,0.1413060508230024,0.06858077805144269,0.17439250126445252,5,-0.0008417109400212439,8
disagreement,6,0.12916609923381925,0.14082312252503515,0.08277776463267639,0.17439250126445252,4,-0.0008417109400212439,8
disagreement,7,0.13224926108566304,0.1432883619551606,0.07704115476560502,0.17439250126445252,4,-0.0008417109400212439,8
disagreement,8,0.1299309189647412,0.13047410592584205,0.004163178258600797,0.17439250126445252,5,-0.0008417109400212439,8
disagreement,9,0.1370682843269364,0.14771223387821308,0.07205868648667568,0.17439250126445252,5,-0.0008417109400212439,8
disagreement,10,0.1329075768536571,0.146409791626241,0.09222207492141465,0.17439250126445252,4,-0.0008417109400212439,8
ewma,none,0.13699055249822495,0.14191073227819412,0.034670949131063056,0.26692656287201394,4,-0.008678328724602585,8
ewma,1,0.13585825228610982,0.13955187599728175,0.026467746741318465,0.26692656287201394,4,-0.008678328724602585,8
ewma,2,0.14054208726346373,0.14603858077030873,0.03763727008200635,0.26692656287201394,3,-0.008678328724602585,8
ewma,3,0.13707825727605197,0.14196485184681057,0.03442115782314592,0.26692656287201394,4,-0.008678328724602585,8
ewma,4,0.13764892505503606,0.14153834743404575,0.027479636787635098,0.26692656287201394,4,-0.008678328724602585,8
ewma,5,0.13506671395595665,0.1413060508230024,0.044154774906709715,0.26692656287201394,3,-0.008678328724602585,8
ewma,6,0.1377941100958224,0.14082312252503515,0.021509340049424508,0.26692656287201394,4,-0.008678328724602585,8
ewma,7,0.13916974117589945,0.1432883619551606,0.028743581984348343,0.26692656287201394,4,-0.008678328724602585,8
ewma,8,0.12255321801224842,0.13047410592584205,0.060708505012447844,0.15430509937863968,3,-0.008678328724602585,8
ewma,9,0.14376755936640007,0.14771223387821308,0.026705130700720114,0.26692656287201394,4,-0.008678328724602585,8
ewma,10,0.1404266604952611,0.146409791626241,0.040865648837570934,0.26692656287201394,3,-0.008678328724602585,8
initial_state,none,0.13709290084999784,0.14191073227819412,0.033949732700636504,0.20599848480100266,4,-0.007256565028019912,8
initial_state,1,0.1341771537421711,0.13955187599728175,0.03851415265256153,0.20599848480100266,3,-0.007256565028019912,8
initial_state,2,0.14189743219358664,0.14603858077030873,0.028356538079723936,0.20599848480100266,4,-0.007256565028019912,8
initial_state,3,0.13969203090055748,0.14196485184681057,0.016009744078806287,0.20599848480100266,4,-0.007256565028019912,8
initial_state,4,0.1373843587231042,0.14153834743404575,0.029348856944067636,0.20599848480100266,4,-0.007256565028019912,8
initial_state,5,0.13636631747751224,0.1413060508230024,0.03495769159720974,0.20599848480100266,4,-0.007256565028019912,8
initial_state,6,0.12943672485544175,0.14082312252503515,0.08085602325405872,0.20293668145214783,3,-0.007256565028019912,8
initial_state,7,0.14212953245766677,0.1432883619551606,0.008087394409997173,0.20599848480100266,4,-0.007256565028019912,8
initial_state,8,0.12977692522753673,0.13047410592584205,0.0053434410863223425,0.20599848480100266,4,-0.007256565028019912,8
initial_state,9,0.14157905345190638,0.14771223387821308,0.0415211405668906,0.20599848480100266,3,-0.007256565028019912,8
initial_state,10,0.13848947947049517,0.146409791626241,0.05409687472245717,0.20599848480100266,3,-0.007256565028019912,8
ood,none,0.1327722902195854,0.14191073227819412,0.06439570786439341,0.20264664538245997,4,-0.008011941910416084,8
ood,1,0.1305380560414243,0.13955187599728175,0.06459117723385555,0.20264664538245997,4,-0.008011941910416084,8
ood,2,0.13652518324268378,0.14603858077030873,0.0651430428688412,0.20264664538245997,4,-0.008011941910416084,8
ood,3,0.13544794334854343,0.14196485184681057,0.04590508434650653,0.20264664538245997,4,-0.008011941910416084,8
ood,4,0.13065470447734195,0.14153834743404575,0.07689536548938003,0.20264664538245997,3,-0.008011941910416084,8
ood,5,0.13243144058235112,0.1413060508230024,0.06280417709619146,0.20264664538245997,4,-0.008011941910416084,8
ood,6,0.12969571796645227,0.14082312252503515,0.0790168855729263,0.20264664538245997,3,-0.008011941910416084,8
ood,7,0.13530008332935844,0.1432883619551606,0.05574966812937632,0.20264664538245997,4,-0.008011941910416084,8
ood,8,0.125008472979266,0.13047410592584205,0.04189055681042608,0.16046144049778363,4,-0.008011941910416084,8
ood,9,0.13682622871237443,0.14771223387821308,0.07369738362236145,0.20264664538245997,3,-0.008011941910416084,8
ood,10,0.13529507151605835,0.146409791626241,0.07591514192272475,0.20264664538245997,3,-0.008011941910416084,8
oracle,none,0.08867626540731603,0.14191073227819412,0.37512643347171315,0.12935545273465116,0,-0.0428880980754833,8
oracle,1,0.08415635570427879,0.13955187599728175,0.3969528886453807,0.10554241961569209,0,-0.0428880980754833,8
oracle,2,0.08988815792995562,0.14603858077030873,0.3844903349798173,0.12935545273465116,0,-0.0428880980754833,8
oracle,3,0.08866068471282623,0.14196485184681057,0.37547439694089246,0.12935545273465116,0,-0.0428880980754833,8
oracle,4,0.08938693657851768,0.14153834743404575,0.36846135200094565,0.12935545273465116,0,-0.0428880980754833,8
oracle,5,0.08680224827305202,0.1413060508230024,0.3857145694222318,0.12935545273465116,0,-0.0428880980754833,8
oracle,6,0.08947279067790871,0.14082312252503515,0.36464417864330134,0.12935545273465116,0,-0.0428880980754833,8
oracle,7,0.08902403769771151,0.1432883619551606,0.37870712957434804,0.12935545273465116,0,-0.0428880980754833,8
oracle,8,0.0888461332992716,0.13047410592584205,0.31905160285390777,0.12935545273465116,0,-0.0428880980754833,8
oracle,9,0.09093971797718964,0.14771223387821308,0.3843453883977659,0.12935545273465116,0,-0.0428880980754833,8
oracle,10,0.08958559122244852,0.146409791626241,0.3881174870384002,0.12935545273465116,0,-0.0428880980754833,8
periodic,none,0.13350152467318668,0.14191073227819412,0.05925702355282392,0.21654905421139864,3,-0.0044922995047652695,8
periodic,1,0.12963606137573658,0.13955187599728175,0.07105468522500058,0.21654905421139864,2,-0.0044922995047652695,8
periodic,2,0.13827448468284984,0.14603858077030873,0.05316469145691283,0.21654905421139864,3,-0.0044922995047652695,8
