lot_number,policy,requested_budget,selected_wafers,actual_metrology_fraction,retained_mae,random_p025,random_p975
1,initial_state,0.1,1,0.1111111111111111,0.1654378540207141,,
1,initial_state,0.2,2,0.2222222222222222,0.16469187030506777,,
1,initial_state,0.3,3,0.3333333333333333,0.17784015870429162,,
1,initial_state,0.4,4,0.4444444444444444,0.17845594894056677,,
1,initial_state,0.5,4,0.4444444444444444,0.17845594894056677,,
1,initial_state,0.6,5,0.5555555555555556,0.16133895229903195,,
1,initial_state,0.7,6,0.6666666666666666,0.16766226740265835,,
1,initial_state,0.8,7,0.7777777777777778,0.15089128515120892,,
1,initial_state,0.9,8,0.8888888888888888,0.1174557067323414,,
1,delta,0.0,0,0.0,0.16326161674759848,,
1,delta,0.1,1,0.1111111111111111,0.1623368513372685,,
1,delta,0.2,2,0.2222222222222222,0.16518940052999934,,
1,delta,0.3,3,0.3333333333333333,0.1684123475245536,,
1,delta,0.4,4,0.4444444444444444,0.1652294443154491,,
1,delta,0.5,4,0.4444444444444444,0.1652294443154491,,
1,delta,0.6,5,0.5555555555555556,0.16284650351358237,,
1,delta,0.7,6,0.6666666666666666,0.18852795804820163,,
1,delta,0.8,7,0.7777777777777778,0.15932996931894933,,
1,delta,0.9,8,0.8888888888888888,0.20120423190555725,,
1,ewma,0.0,0,0.0,0.16326161674759848,,
1,ewma,0.1,1,0.1111111111111111,0.1623368513372685,,
1,ewma,0.2,2,0.2222222222222222,0.15025298217020597,,
1,ewma,0.3,3,0.3333333333333333,0.1509865261047947,,
1,ewma,0.4,4,0.4444444444444444,0.14623158982117052,,
1,ewma,0.5,4,0.4444444444444444,0.14623158982117052,,
1,ewma,0.6,5,0.5555555555555556,0.14719723552942493,,
1,ewma,0.7,6,0.6666666666666666,0.12919490340404752,,
1,ewma,0.8,7,0.7777777777777778,0.15089128515120892,,
1,ewma,0.9,8,0.8888888888888888,0.1174557067323414,,
1,disagreement,0.0,0,0.0,0.16326161674759848,,
1,disagreement,0.1,1,0.1111111111111111,0.16587319296752917,,
1,disagreement,0.2,2,0.2222222222222222,0.17731191483292982,,
1,disagreement,0.3,3,0.3333333333333333,0.17773703271793218,,
1,disagreement,0.4,4,0.4444444444444444,0.17915249125547097,,
1,disagreement,0.5,4,0.4444444444444444,0.17915249125547097,,
1,disagreement,0.6,5,0.5555555555555556,0.1874776844286703,,
1,disagreement,0.7,6,0.6666666666666666,0.18290216860304134,,
1,disagreement,0.8,7,0.7777777777777778,0.15089128515120892,,
1,disagreement,0.9,8,0.8888888888888888,0.18432686357007644,,
1,combined,0.0,0,0.0,0.16326161674759848,,
1,combined,0.1,1,0.1111111111111111,0.1623368513372685,,
1,combined,0.2,2,0.2222222222222222,0.16469187030506777,,
1,combined,0.3,3,0.3333333333333333,0.1684123475245536,,
1,combined,0.4,4,0.4444444444444444,0.15271002992812313,,
1,combined,0.5,4,0.4444444444444444,0.15271002992812313,,
1,combined,0.6,5,0.5555555555555556,0.16943700243272272,,
1,combined,0.7,6,0.6666666666666666,0.16766226740265835,,
1,combined,0.8,7,0.7777777777777778,0.15089128515120892,,
1,combined,0.9,8,0.8888888888888888,0.1174557067323414,,
1,training_weighted_candidate,0.0,0,0.0,0.16326161674759848,,
1,training_weighted_candidate,0.1,1,0.1111111111111111,0.16587319296752917,,
1,training_weighted_candidate,0.2,2,0.2222222222222222,0.16518940052999934,,
1,training_weighted_candidate,0.3,3,0.3333333333333333,0.17842061063337844,,
1,training_weighted_candidate,0.4,4,0.4444444444444444,0.17915249125547097,,
1,training_weighted_candidate,0.5,4,0.4444444444444444,0.17915249125547097,,
1,training_weighted_candidate,0.6,5,0.5555555555555556,0.1874776844286703,,
1,training_weighted_candidate,0.7,6,0.6666666666666666,0.16766226740265835,,
1,training_weighted_candidate,0.8,7,0.7777777777777778,0.15932996931894933,,
1,training_weighted_candidate,0.9,8,0.8888888888888888,0.1174557067323414,,
1,oracle,0.0,0,0.0,0.16326161674759848,,
1,oracle,0.1,1,0.1111111111111111,0.15280382690271,,
1,oracle,0.2,2,0.2222222222222222,0.14588948333087468,,
1,oracle,0.3,3,0.3333333333333333,0.13948325329100772,,
1,oracle,0.4,4,0.4444444444444444,0.13242766244462612,,
1,oracle,0.5,4,0.4444444444444444,0.13242766244462612,,
1,oracle,0.6,5,0.5555555555555556,0.12286964304822309,,
1,oracle,0.7,6,0.6666666666666666,0.11520895121007295,,
1,oracle,0.8,7,0.7777777777777778,0.10162892332103304,,
1,oracle,0.9,8,0.8888888888888888,0.08580213990972468,,
2,random,0.0,0,0.0,0.10482700756621782,0.10482700756621781,0.10482700756621781
2,random,0.1,1,0.1,0.10490102034190572,0.09185448846962621,0.10982989908603005
2,random,0.2,2,0.2,0.10481243289894651,0.09010666197644142,0.11349271885009263
2,random,0.3,3,0.3,0.10485065179548948,0.08428697874873907,0.11943121707637273
2,random,0.4,4,0.4,0.1048087227559248,0.0824553849783669,0.12353882038359225
2,random,0.5,5,0.5,0.10473492183427427,0.07998934252742915,0.12993081562919503
2,random,0.6,6,0.6,0.10467629543651304,0.07588166518140273,0.13838444144799422
2,random,0.7,7,0.7,0.1048113619374795,0.07310054084556254,0.15275374147366824
2,random,0.8,8,0.8,0.10473817215865219,0.07016416243071863,0.16370838992532347
2,random,0.9,9,0.9,0.10418755940033553,0.05980098388790782,0.22157967943554244
2,periodic,0.0,0,0.0,0.10482700756621781,,
2,periodic,0.1,1,0.1,0.09185448846962621,,
2,periodic,0.2,2,0.2,0.09010666197644142,,
2,periodic,0.3,3,0.3,0.09147513640542883,,
2,periodic,0.4,4,0.4,0.08698815555111387,,
2,periodic,0.5,5,0.5,0.09637921207707943,,
2,periodic,0.6,6,0.6,0.09820745361012934,,
2,periodic,0.7,7,0.7,0.08373127920429281,,
2,periodic,0.8,8,0.8,0.07921494722630237,,
2,periodic,0.9,9,0.9,0.08906624594487982,,
2,ood,0.0,0,0.0,0.10482700756621781,,
2,ood,0.1,1,0.1,0.09185448846962621,,
2,ood,0.2,2,0.2,0.09100768570774237,,
2,ood,0.3,3,0.3,0.08939069684026403,,
2,ood,0.4,4,0.4,0.08902600562104497,,
2,ood,0.5,5,0.5,0.08901795755627799,,
2,ood,0.6,6,0.6,0.09605451492432679,,
2,ood,0.7,7,0.7,0.10123023957459258,,
2,ood,0.8,8,0.8,0.12194486741793494,,
2,ood,0.9,9,0.9,0.13805263442076537,,
2,initial_state,0.0,0,0.0,0.10482700756621781,,
2,initial_state,0.1,1,0.1,0.09185448846962621,,
2,initial_state,0.2,2,0.2,0.09572733351781912,,
2,initial_state,0.3,3,0.3,0.0953128225111223,,
2,initial_state,0.4,4,0.4,0.0959351522370463,,
2,initial_state,0.5,5,0.5,0.09395476260143465,,
2,initial_state,0.6,6,0.6,0.09186180130677062,,
2,initial_state,0.7,7,0.7,0.10254874044639155,,
2,initial_state,0.8,8,0.8,0.08479679345920463,,
2,initial_state,0.9,9,0.9,0.08052734097352945,,
2,delta,0.0,0,0.0,0.10482700756621781,,
2,delta,0.1,1,0.1,0.1051048297646764,,
2,delta,0.2,2,0.2,0.11063396747475057,,
2,delta,0.3,3,0.3,0.11493491411778219,,
2,delta,0.4,4,0.4,0.1241239024894279,,
2,delta,0.5,5,0.5,0.10463274710020498,,
2,delta,0.6,6,0.6,0.10789622283636166,,
2,delta,0.7,7,0.7,0.1085825969767807,,
2,delta,0.8,8,0.8,0.11834077249273114,,
2,delta,0.9,9,0.9,0.09862891056469691,,
2,ewma,0.0,0,0.0,0.10482700756621781,,
2,ewma,0.1,1,0.1,0.1051048297646764,,
2,ewma,0.2,2,0.2,0.11063396747475057,,
2,ewma,0.3,3,0.3,0.11234897560475825,,
2,ewma,0.4,4,0.4,0.09414385829962756,,
2,ewma,0.5,5,0.5,0.10101243318197148,,
2,ewma,0.6,6,0.6,0.106133706234082,,
2,ewma,0.7,7,0.7,0.11182285966381607,,
2,ewma,0.8,8,0.8,0.09870797228534141,,
2,ewma,0.9,9,0.9,0.1058371004151045,,
2,disagreement,0.0,0,0.0,0.10482700756621781,,
2,disagreement,0.1,1,0.1,0.09185448846962621,,
2,disagreement,0.2,2,0.2,0.09054547355581813,,
2,disagreement,0.3,3,0.3,0.09039784918442383,,
2,disagreement,0.4,4,0.4,0.09204293388623956,,
2,disagreement,0.5,5,0.5,0.0926382714745115,,
2,disagreement,0.6,6,0.6,0.10057990732211866,,
2,disagreement,0.7,7,0.7,0.0988275096244567,,
2,disagreement,0.8,8,0.8,0.07921494722630237,,
2,disagreement,0.9,9,0.9,0.09862891056469691,,
2,combined,0.0,0,0.0,0.10482700756621781,,
2,combined,0.1,1,0.1,0.09185448846962621,,
2,combined,0.2,2,0.2,0.09054547355581813,,
2,combined,0.3,3,0.3,0.09478458005178032,,
2,combined,0.4,4,0.4,0.10061517941242572,,
2,combined,0.5,5,0.5,0.10101243318197148,,
2,combined,0.6,6,0.6,0.10337083043856979,,
2,combined,0.7,7,0.7,0.11098532692691658,,
2,combined,0.8,8,0.8,0.1135594401828226,,
2,combined,0.9,9,0.9,0.13805263442076537,,
2,training_weighted_candidate,0.0,0,0.0,0.10482700756621781,,
2,training_weighted_candidate,0.1,1,0.1,0.1051048297646764,,
2,training_weighted_candidate,0.2,2,0.2,0.11063396747475057,,
2,training_weighted_candidate,0.3,3,0.3,0.09478458005178032,,
2,training_weighted_candidate,0.4,4,0.4,0.09716078656482213,,
2,training_weighted_candidate,0.5,5,0.5,0.10463274710020498,,
2,training_weighted_candidate,0.6,6,0.6,0.10789622283636166,,
2,training_weighted_candidate,0.7,7,0.7,0.11417288180018892,,
2,training_weighted_candidate,0.8,8,0.8,0.11834077249273114,,
2,training_weighted_candidate,0.9,9,0.9,0.09862891056469691,,
2,oracle,0.0,0,0.0,0.10482700756621781,,
2,oracle,0.1,1,0.1,0.09185448846962621,,
2,oracle,0.2,2,0.2,0.0860797202257338,,
2,oracle,0.3,3,0.3,0.08325723734153799,,
2,oracle,0.4,4,0.4,0.08007900893511254,,
2,oracle,0.5,5,0.5,0.07636902860919566,,
2,oracle,0.6,6,0.6,0.07256657472259999,,
2,oracle,0.7,7,0.7,0.06706668431517337,,
2,oracle,0.8,8,0.8,0.060336355985995335,,
2,oracle,0.9,9,0.9,0.05980098388790782,,
3,random,0.0,0,0.0,0.14133134129027608,0.14133134129027605,0.14133134129027605
3,random,0.1,1,0.1,0.1413968054233268,0.12017673768679558,0.15204934964470299
