held_out_lot,split,alpha,mean_ewma_distance,median_ewma_distance,spearman_vs_preregistered_alpha
1,train,0.1,17.13712846164883,16.054805288742493,0.7688391216866416
1,test,0.1,15.389014079347126,16.057563471995138,0.9761904761904763
1,train,0.3,13.312564152609875,12.178556198200866,1.0
1,test,0.3,11.435215429279058,11.626299368303226,1.0
1,train,0.5,12.310374752350132,11.070271692207193,0.925010935176275
1,test,0.5,10.379900134111086,9.862388182486534,0.8095238095238096
2,train,0.1,17.07706543247365,15.868076141406407,0.7916331750091342
2,test,0.1,16.114747108601193,16.860634750498694,0.75
2,train,0.3,13.393265442764214,11.996045583627406,1.0
2,test,0.3,10.92097810746502,11.361529270044521,1.0
2,train,0.5,12.39297808150741,11.236344801890684,0.909535988308367
2,test,0.5,9.584714694407028,9.236422945160577,0.8666666666666667
3,train,0.1,17.047082759064516,16.138850768340525,0.7819875776397516
3,test,0.1,15.39363775564999,13.862065890640281,0.7999999999999999
3,train,0.3,13.235686726974881,12.381748993716648,1.0
3,test,0.3,12.012632633161044,9.67978562024189,1.0
3,train,0.5,12.224466386677506,10.998713032536896,0.9150164413591525
3,test,0.5,11.465941219175091,8.843344065543462,0.8833333333333333
4,train,0.1,17.522975314269594,16.226532431857006,0.7861892583120206
4,test,0.1,15.959702248553047,13.600476126012639,0.8666666666666667
4,train,0.3,13.472159074401223,12.61606569643775,1.0
4,test,0.3,14.590928638876806,12.919086716623573,1.0
4,train,0.5,12.33734262134129,11.212236889815964,0.9143953233467301
4,test,0.5,15.036536963807897,14.680487631387416,0.9166666666666666
5,train,0.1,16.839537301332143,15.792884430818601,0.8052246985750824
5,test,0.1,20.843439608155737,20.757998931377188,0.5833333333333334
5,train,0.3,13.309286296092024,12.370584793432979,1.0
5,test,0.3,15.472710474662096,14.37985601416376,1.0
5,train,0.5,12.373395187300234,11.297749869085754,0.9082937522835222
5,test,0.5,14.18583702116107,12.307577674326621,0.8833333333333333
6,train,0.1,17.20957163609564,16.199453063418474,0.8022287175739863
6,test,0.1,12.502463920086194,12.095580774523283,0.65
6,train,0.3,13.383570288445892,12.289897831513377,1.0
6,test,0.3,9.557012422541312,9.637542723586744,1.0
6,train,0.5,12.38903518184606,11.305676629409177,0.9183777858969676
6,test,0.5,8.707048406149958,9.591130158773222,0.9500000000000001
7,train,0.1,17.167937755103452,16.2245682237506,0.796896211279773
7,test,0.1,12.212687174566653,11.583361639453292,0.6
7,train,0.3,13.356695165941302,12.351744610683511,1.0
7,test,0.3,9.85358508230384,8.310290109523082,0.9999999999999999
7,train,0.5,12.385417059823,11.164807931884619,0.8973219795137604
7,test,0.5,8.865410261854075,7.499771100982969,0.9999999999999999
8,train,0.1,17.59850234298386,16.573596055482824,0.7975886006576544
8,test,0.1,13.802229417803334,13.202472701570244,0.7666666666666667
8,train,0.3,13.545069140172094,12.637590559901485,1.0
8,test,0.3,12.030369811577119,11.411605758228678,1.0
8,train,0.5,12.448554894721946,11.454784878511962,0.9111801242236025
8,test,0.5,11.813944276934045,10.108220831413965,0.8499999999999999
9,train,0.1,17.16238174315504,16.05619102892661,0.783431020908057
9,test,0.1,14.266455107690472,15.002540716556918,0.6190476190476191
9,train,0.3,13.442767305943068,12.106107282344155,1.0
9,test,0.3,10.310535713833275,11.113847155770891,1.0
9,train,0.5,12.50658613523952,11.467040337536965,0.9132184410812701
9,test,0.5,8.946598510245755,8.722266688493447,0.9285714285714287
10,train,0.1,16.875943641338868,16.003110610760032,0.7450071123755333
10,test,0.1,22.86777766258032,22.350403481726705,0.5
10,train,0.3,13.07917150293901,11.985467388029724,0.9999999999999999
10,test,0.3,19.125490322202126,20.364979826944026,1.0
10,train,0.5,12.17222775374829,11.201228127918528,0.9171834992887624
10,test,0.5,16.16881555493569,16.626668706873218,1.0
