experiment_key,lot_number,true_pls_mae,ood_percentile,initial_state_percentile,delta_percentile,ewma_percentile,disagreement_percentile,combined_risk,training_weighted_risk,combined_components,ood_initial_train_spearman
2024-08-07_01,8,0.11394515928615478,0.782051282051282,0.8205128205128205,0.5,0.5,0.8461538461538461,0.6897435897435897,0.5865384615384616,"ood,initial_state,delta,ewma,disagreement",0.5483542600764482
2024-08-07_02,8,0.13124903078206554,0.44871794871794873,0.48717948717948717,0.6376811594202898,0.5942028985507246,0.5512820512820513,0.5438127090301004,0.5834726867335562,"ood,initial_state,delta,ewma,disagreement",0.5483542600764482
2024-08-07_03,8,0.04533181035989558,0.5384615384615384,0.44871794871794873,0.10144927536231885,0.3333333333333333,0.6410256410256411,0.4125975473801561,0.41025641025641024,"ood,initial_state,delta,ewma,disagreement",0.5483542600764482
2024-08-07_04,8,0.030908916813285045,0.20512820512820512,0.05128205128205128,0.5652173913043478,0.4782608695652174,0.10256410256410256,0.2804905239687848,0.38433667781493874,"ood,initial_state,delta,ewma,disagreement",0.5483542600764482
2024-08-07_05,8,0.08584263329471178,0.1794871794871795,0.07692307692307693,0.2608695652173913,0.17391304347826086,0.11538461538461539,0.1613154960981048,0.1592809364548495,"ood,initial_state,delta,ewma,disagreement",0.5483542600764482
2024-08-07_06,8,0.1345399418913641,0.44871794871794873,0.5384615384615384,0.36231884057971014,0.391304347826087,0.46153846153846156,0.44046822742474917,0.4088628762541806,"ood,initial_state,delta,ewma,disagreement",0.5483542600764482
2024-08-07_07,8,0.035766975020246165,0.38461538461538464,0.23076923076923078,0.42028985507246375,0.08695652173913043,0.38461538461538464,0.30144927536231886,0.16137123745819398,"ood,initial_state,delta,ewma,disagreement",0.5483542600764482
2024-08-07_08,8,0.43063088230747304,0.8974358974358975,0.8974358974358975,0.9130434782608695,0.927536231884058,0.1794871794871795,0.7629877369007804,0.7405239687848383,"ood,initial_state,delta,ewma,disagreement",0.5483542600764482
2024-08-07_09,8,0.6162398080550282,0.8974358974358975,0.5897435897435898,0.8260869565217391,0.4057971014492754,0.8717948717948718,0.7181716833890748,0.5222965440356745,"ood,initial_state,delta,ewma,disagreement",0.5483542600764482
2024-08-07_10,8,0.8455917270796053,0.34615384615384615,0.11538461538461539,0.37681159420289856,0.17391304347826086,0.8205128205128205,0.3665551839464883,0.33556298773690074,"ood,initial_state,delta,ewma,disagreement",0.5483542600764482
2024-08-21_01,9,0.06110708211053303,0.8607594936708861,0.8481012658227848,0.5,0.5,0.8987341772151899,0.7215189873417722,0.6993670886075949,"ood,initial_state,delta,ewma,disagreement",0.6079647521648243
2024-08-21_02,9,0.12931091236988523,0.20253164556962025,0.379746835443038,0.6857142857142857,0.6571428571428571,0.6329113924050633,0.5116094032549728,0.6521699819168174,"ood,initial_state,delta,ewma,disagreement",0.6079647521648243
2024-08-21_03,9,0.0978973381073103,0.0759493670886076,0.0379746835443038,0.22857142857142856,0.5571428571428572,0.7215189873417721,0.32423146473779385,0.5571880650994575,"ood,initial_state,delta,ewma,disagreement",0.6079647521648243
