policy,observed_mean_difference,observed_median_difference,bootstrap_mean_difference,bootstrap_p025,bootstrap_p975,probability_beats_random,bootstrap_replicates
combined,-0.013162630752791404,-0.004352047233856002,-0.013286885440461646,-0.030969936548342545,0.0017216330782598536,0.9547,10000
delta,-0.010377626318143042,-0.00877017667974022,-0.010365131835351137,-0.02632753006113575,0.002980564469601994,0.9231,10000
disagreement,-0.009841543783350525,-0.0008417109400212439,-0.009885924192189992,-0.03116557119883425,0.005587076893792344,0.8412,10000
ewma,-0.004920179779969126,-0.008678328724602585,-0.004874779291735117,-0.012255619738534548,0.003455683775279605,0.8811,10000
initial_state,-0.0048178314281962535,-0.007256565028019912,-0.004888283895099136,-0.02078421092260805,0.012503039459951765,0.7252,10000
ood,-0.009138442058608694,-0.008011941910416084,-0.009145887977159359,-0.020126715122034608,0.0009486433656334845,0.9594,10000
oracle,-0.05323446687087806,-0.0428880980754833,-0.05337597009933512,-0.07944927844950041,-0.033978449505587247,1.0,10000
periodic,-0.008409207605007437,-0.0044922995047652695,-0.008413633693234465,-0.018166190610149246,0.000708220399012174,0.9621,10000
training_weighted_candidate,-0.0013485798494431212,0.0021157145877200023,-0.001396089736274289,-0.012636160729946635,0.009232772780282469,0.5893,10000
