held_out_lot,split,score_a,score_b,spearman,n_pairs
7,train,ood,disagreement,0.182986830526875,82
7,train,initial_state,delta,0.3685980501048995,73
7,train,initial_state,ewma,0.30892879180550414,73
7,train,initial_state,disagreement,0.43130788737606257,82
7,train,delta,ewma,0.5857398494384797,73
7,train,delta,disagreement,0.07546587683573987,73
7,train,ewma,disagreement,0.04664938911514255,73
7,test,ood,initial_state,0.6,6
7,test,ood,delta,0.7999999999999999,5
7,test,ood,ewma,0.7999999999999999,5
7,test,ood,disagreement,0.08571428571428573,6
7,test,initial_state,delta,-0.19999999999999998,5
7,test,initial_state,ewma,-0.19999999999999998,5
7,test,initial_state,disagreement,0.48571428571428577,6
7,test,delta,ewma,0.9999999999999999,5
7,test,delta,disagreement,-0.8999999999999998,5
7,test,ewma,disagreement,-0.8999999999999998,5
8,train,ood,initial_state,0.5483542600764482,78
8,train,ood,delta,0.5384432759347473,69
8,train,ood,ewma,0.4693404061534444,69
8,train,ood,disagreement,0.16286084846747748,78
8,train,initial_state,delta,0.33430763609791747,69
8,train,initial_state,ewma,0.2678480087687249,69
8,train,initial_state,disagreement,0.4698971914161787,78
8,train,delta,ewma,0.587943003288272,69
8,train,delta,disagreement,-0.007380343441724517,69
8,train,ewma,disagreement,-0.07928388746803071,69
8,test,ood,initial_state,0.9151515151515152,10
8,test,ood,delta,0.41666666666666663,9
8,test,ood,ewma,0.43333333333333335,9
8,test,ood,disagreement,0.6,10
8,test,initial_state,delta,0.5,9
8,test,initial_state,ewma,0.5,9
8,test,initial_state,disagreement,0.4787878787878787,10
8,test,delta,ewma,0.6666666666666667,9
8,test,delta,disagreement,0.0,9
8,test,ewma,disagreement,-0.16666666666666669,9
9,train,ood,initial_state,0.6079647521648243,79
9,train,ood,delta,0.4921036338372768,70
9,train,ood,ewma,0.3841355156104082,70
9,train,ood,disagreement,0.2892531323270173,79
9,train,initial_state,delta,0.3358761263231563,70
9,train,initial_state,ewma,0.3130609745429096,70
9,train,initial_state,disagreement,0.4579844206426485,79
9,train,delta,ewma,0.6270142594698626,70
9,train,delta,disagreement,0.054675881375207756,70
9,train,ewma,disagreement,0.03364535036304785,70
9,test,ood,initial_state,0.7166666666666667,9
9,test,ood,delta,-0.09523809523809526,8
9,test,ood,ewma,-0.07142857142857144,8
9,test,ood,disagreement,-0.16666666666666669,9
9,test,initial_state,delta,0.14285714285714288,8
9,test,initial_state,ewma,-0.19047619047619052,8
9,test,initial_state,disagreement,0.18333333333333335,9
9,test,delta,ewma,0.4285714285714286,8
9,test,delta,disagreement,-0.11904761904761905,8
9,test,ewma,disagreement,0.023809523809523815,8
10,train,ood,initial_state,0.5508735899582662,84
10,train,ood,delta,0.5722069728655451,75
10,train,ood,ewma,0.5854376852984771,75
10,train,ood,disagreement,0.2573727099029338,84
10,train,initial_state,delta,0.35524893314366995,75
10,train,initial_state,ewma,0.38893314366998577,75
10,train,initial_state,disagreement,0.45665687961931767,84
10,train,delta,ewma,0.6380369843527739,75
10,train,delta,disagreement,0.0034423897581792318,75
10,train,ewma,disagreement,0.1011095305832148,75
10,test,ood,initial_state,0.7999999999999999,4
10,test,ood,delta,0.5,3
10,test,ood,ewma,0.5,3
10,test,ood,disagreement,0.7999999999999999,4
10,test,initial_state,delta,1.0,3
10,test,initial_state,ewma,1.0,3
10,test,initial_state,disagreement,1.0,4
10,test,delta,ewma,1.0,3
10,test,delta,disagreement,1.0,3
10,test,ewma,disagreement,1.0,3
