experiment_key,wafer_order,observed_mean,template_mean,true_mean_shift,predicted_mean_shift,template_mae,mean_shift_mae,full_map_mae,mean_shift_error,residual_shape_mae_gain
2024-08-07_01,1,44.06656516853933,44.02183778450014,0.044727384039184415,0.15606857091366777,0.07985766349755044,0.159678890445083,0.12434599185519797,0.11134118687448336,0.03533289858988502
2024-08-07_02,2,44.21995617977528,44.02183778450014,0.19811839527513797,0.10181090266332404,0.19811839527513572,0.09630749261181165,0.09630749261181452,-0.09630749261181393,-2.8727020762175925e-15
2024-08-07_03,3,44.040443820224716,44.02183778450014,0.018606035724573644,-0.011279448581369422,0.029903471622011894,0.035821366809675945,0.035135677029816736,-0.029885484305943066,0.0006856897798592082
2024-08-07_04,4,44.14722921348314,44.02183778450014,0.1253914289830007,0.10168051538284573,0.12539142898300087,0.03279714321638944,0.02914848749390661,-0.02371091360015498,0.003648655722482831
2024-08-07_05,5,43.96276741573033,44.02183778450014,-0.059070368769809534,-0.09018481713449233,0.06644320080668609,0.0727509086923211,0.06628793538503243,-0.0311144483646828,0.0064629733072886775
2024-08-07_06,6,43.82409101123595,44.02183778450014,-0.19774677326419265,-0.06144049014839936,0.19774677326419018,0.13707440706611468,0.14525938465670737,0.1363062831157933,-0.008184977590592696
2024-08-07_07,7,43.72177303370786,44.02183778450014,-0.3000647507922807,-0.2894593898574982,0.3000647507922801,0.06873127647875366,0.03913524780524397,0.010605360934782482,0.02959602867350969
2024-08-07_08,8,44.01328089887641,44.02183778450014,-0.008556885623733024,0.3929083520536025,0.15768437049841505,0.4271346964036169,0.41432562999465183,0.40146523767733555,0.012809066408965064
2024-08-07_09,9,43.791832584269656,44.02183778450014,-0.23000520023048665,0.3950638979318981,0.25979180351483877,0.6250690981623809,0.625069098162378,0.6250690981623848,2.886579864025407e-15
2024-08-07_10,10,43.53814719101124,44.02183778450014,-0.48369059348890175,0.33461072805721415,0.48369059348890936,0.8183013215461163,0.8183013215461138,0.8183013215461159,2.55351295663786e-15
