experiment_key,Stat3_Etch_MV_Heater2Temp__active_slope,Stat3_Etch_MV_Heater2Temp__cycle_mean_slope,Stat3_Etch_MV_Heater2Temp__early_late_delta,Stat3_Etch_MV_SourceRFPeakToPeak__active_slope,Stat3_Etch_MV_Gas1Flow__long_phase_mean,Stat3_Etch_MV_Heater4Temp__cycle_mean_slope,Stat3_Etch_MV_Gas1Flow__active_mean,Stat3_Etch_MV_Heater4Temp__active_slope,Stat3_Etch_MV_SourceRFPeakToPeak__cycle_mean_slope,Stat3_Etch_MV_PlatenRFPeakToPeak__phase_difference,Stat3_Etch_MV_SourceRFPeakToPeak__early_late_delta,Stat3_Etch_MV_Gas7Flow__early_late_delta
2024-08-07_01,0.9492865115590556,0.9387624860193533,1.4096861469701896,0.18299847986718404,0.42770408961087836,1.5746578876669952,-0.07596112098078289,1.6781448304335032,-0.7125419676777197,0.6884554827570082,-0.5473405812387604,0.9337930698395136
2024-08-07_02,0.7967136069308054,0.8056859957131141,0.35874288810883764,0.06159299241330117,0.07902539219109878,-0.5977247852554333,-0.2563216998750948,-0.4379538274241851,-0.7077452344358005,0.521310571085574,0.09857585127505716,-0.28958202756245655
2024-08-07_03,0.3538245636487881,0.33394270711586554,0.4943708927072093,-0.2269620030196301,0.6369359216664354,0.36645102713045236,0.03245295192679151,0.5551326948184652,-1.0481877686678402,-0.07830001952985359,-0.06888393716845315,-0.27780978676868245
2024-08-07_04,0.8395238689787852,0.8402153541763431,0.8520059890860747,-0.9911934198660078,0.883012746411266,-0.010001474695152059,0.15176702604752254,-0.1031853409133906,-0.423772050514723,-1.148525142037144,-1.20750661067033,-0.561313510939374
2024-08-07_05,0.37968212906906273,0.38903723163029497,0.6449953924142692,-0.21291861745370405,0.3915471143344176,-0.054605793561024046,-0.07199120681891838,-0.07646071227944458,0.42924340549342993,-1.4048839965131654,0.4434818527166225,0.11676989476783596
2024-08-07_06,-0.06971122428091855,-0.06768724986463338,-0.15260196322474961,-0.2788520804902778,0.6244278006771103,-0.06259331235699966,0.02843758250580169,-0.1328935223458187,0.4058960982907869,-0.029110094034950736,-0.7305100037700626,0.5310233599964559
2024-08-07_07,0.43654201749157606,0.4354360273422759,-0.18907192778354345,0.37947943658892885,0.3807513256233284,0.5483526829652796,-0.09115823636405272,0.4786323319510207,1.08065506452321,-0.36917876159224494,0.6556950851524507,0.27614054527414256
2024-08-07_08,-2.5293881192763954,-2.533747755091842,-2.7928694741473254,5.360755328985731,4.576171650453023,-4.534364645838348,4.430881889768429,-4.258072787060416,3.179677944210459,3.8239024440682203,3.736831187061609,-1.6942657234691658
2024-08-07_09,-8.581921059664309,-8.551336695933633,-8.101189713296359,3.022073016470414,4.474241972286244,-3.3302161207121945,1.9343314510251546,-3.3832490611877546,3.8642580110780407,2.6197168948482377,2.9601104725828247,0.4973479257327313
2024-08-07_10,-3.978874942635423,-3.974631132748638,-3.8564663561650416,-0.6530264585136133,0.6653832698878415,-0.7515876117853479,0.03599938990646293,-0.7917584781036155,-0.05478158659858554,-0.6150555639553748,-0.5062744197143892,3.7292929378468416
