experiment_key,samples,median_step_seconds,maximum_gap_seconds,active_maximum_gap_seconds,active_duration_seconds,detected_cycles,long_phase_sample_fraction,short_phase_sample_fraction
2024-07-02_01,3245.0,0.20000004768371582,42.88000011444092,0.20000004768371582,597.7999999523163,100.0,0.7177257525083612,0.2157190635451505
2024-07-02_02,3298.0,0.20000004768371582,42.769999980926514,0.20000004768371582,595.0,99.0,0.7167338709677419,0.21673387096774194
2024-07-02_03,3247.0,0.20000004768371582,42.44000005722046,0.20000004768371582,598.0,100.0,0.7178201270478101,0.2156469408224674
2024-07-02_04,3247.0,0.20000004768371582,42.5,0.20000004768371582,598.0,100.0,0.7178201270478101,0.2156469408224674
2024-07-02_05,3298.0,0.20000004768371582,42.78999996185303,0.20000004768371582,594.7999999523163,99.0,0.7166386554621849,0.21680672268907564
2024-07-02_06,3246.0,0.20000004768371582,42.60000014305115,0.20000004768371582,598.0,100.0,0.7178201270478101,0.2156469408224674
2024-07-02_07,3247.0,0.20000004768371582,42.769999980926514,0.20000004768371582,598.0,100.0,0.7181544633901705,0.2156469408224674
2024-07-02_08,3298.0,0.20000004768371582,42.50999999046326,0.20000004768371582,594.8000001907349,99.0,0.7166386554621849,0.21680672268907564
2024-07-02_09,3246.0,0.20000004768371582,42.639999866485596,0.20000004768371582,598.0,100.0,0.7174857907054497,0.215312604480107
2024-07-02_10,3247.0,0.20000004768371582,45.200000047683716,0.20000004768371582,598.0,100.0,0.7178201270478101,0.2156469408224674
2024-07-05_01,3245.0,0.20000004768371582,42.34999990463257,0.20000004768371582,597.7999999523163,100.0,0.7183946488294315,0.2157190635451505
2024-07-05_02,3247.0,0.20000004768371582,42.450000047683716,0.20000004768371582,598.0,100.0,0.7174857907054497,0.21664994984954863
2024-07-05_03,3247.0,0.20000004768371582,42.71000003814697,0.20000004768371582,598.0,100.0,0.7178201270478101,0.2156469408224674
2024-07-05_04,3298.0,0.20000004768371582,42.75999999046326,0.21000003814697266,595.0,99.0,0.7167338709677419,0.21673387096774194
2024-07-05_05,3247.0,0.20000004768371582,42.72000002861023,0.20000004768371582,598.0,100.0,0.7178201270478101,0.2156469408224674
2024-07-05_06,3247.0,0.20000004768371582,42.43999981880188,0.20000004768371582,598.0,100.0,0.7174857907054497,0.21598127716482782
2024-07-05_07,3247.0,0.20000004768371582,42.480000019073486,0.20000004768371582,598.0,100.0,0.7178201270478101,0.215312604480107
2024-07-05_08,3299.0,0.20000004768371582,42.55999994277954,0.21000003814697266,595.0,99.0,0.7167338709677419,0.21740591397849462
2024-07-05_09,3246.0,0.20000004768371582,42.6800000667572,0.20000004768371582,597.7999999523163,100.0,0.7177257525083612,0.2157190635451505
2024-07-05_10,3246.0,0.20000004768371582,0.20000004768371582,0.20000004768371582,598.0,100.0,0.7178201270478101,0.215312604480107
2024-07-09_01,3247.0,0.20000004768371582,42.72000002861023,0.21000003814697266,598.0,100.0,0.7174857907054497,0.21631561350718823
2024-07-09_02,3298.0,0.20000004768371582,42.50999999046326,0.20000004768371582,595.0,99.0,0.7167338709677419,0.21774193548387097
2024-07-09_03,3247.0,0.20000004768371582,42.72000002861023,0.21000003814697266,598.0,100.0,0.7178201270478101,0.2156469408224674
2024-07-09_04,3247.0,0.20000004768371582,42.47000002861023,0.20000004768371582,598.0,100.0,0.7178201270478101,0.21598127716482782
2024-07-09_05,3195.0,0.20000004768371582,42.57000017166138,0.21000003814697266,602.1999998092651,100.0,0.7151394422310757,0.21879150066401062
2024-07-09_06,3246.0,0.20000004768371582,42.71000003814697,0.20000004768371582,598.0,100.0,0.7181544633901705,0.21598127716482782
2024-07-09_07,3246.0,0.20000004768371582,42.84999990463257,0.20000004768371582,597.7999999523163,100.0,0.7187290969899666,0.2153846153846154
2024-07-09_08,3247.0,0.20000004768371582,42.420000076293945,0.20000004768371582,598.0,100.0,0.7178201270478101,0.2156469408224674
2024-07-09_09,3247.0,0.20000004768371582,42.24000000953674,0.21000003814697266,598.0099999904633,100.0,0.7178201270478101,0.2156469408224674
2024-07-09_10,3349.0,0.20000004768371582,0.21000003814697266,0.21000003814697266,591.7999999523163,99.0,0.7179054054054054,0.2152027027027027
2024-07-11_01,3247.0,0.20000004768371582,41.74000000953674,0.20000004768371582,598.0,100.0,0.7181544633901705,0.21598127716482782
