experiment_key,lot_number,family,stage,mae,rmse,mean_error
2024-07-02_01,1,pls,full_map,0.14131358565718155,0.2391675620561163,0.07707999182080272
2024-07-02_02,1,pls,template,0.43630285876831243,0.5019599017769464,-0.43630285876831465
2024-07-02_02,1,pls,mean_shift,0.20206222021433629,0.2595824180975635,-0.07602284763713385
2024-07-02_02,1,pls,full_map,0.171210235400355,0.21024012606116993,-0.07602284763714096
2024-07-02_03,1,pls,template,0.5500478025885371,0.6107820924948041,-0.5500478025885371
2024-07-02_03,1,pls,mean_shift,0.2477699390812924,0.32130306345568904,-0.18092395973490483
2024-07-02_03,1,pls,full_map,0.24067646380721913,0.30443524587634474,-0.18092395973491193
2024-07-02_04,1,pls,template,0.317329554828617,0.38649659737790293,-0.3114208362963993
2024-07-02_04,1,pls,mean_shift,0.20124441452179656,0.2504380390124388,-0.10159984684658241
2024-07-02_04,1,pls,full_map,0.19879766901629436,0.2445687906546368,-0.10159984684658951
2024-07-02_05,1,pls,template,0.20160459394111668,0.25271319665173775,0.15919489404067377
2024-07-02_05,1,pls,mean_shift,0.1735907658204867,0.2050950322457943,-0.059523329700091665
2024-07-02_05,1,pls,full_map,0.17562257220950944,0.21131026631637762,-0.05952332970009877
2024-07-02_06,1,pls,template,0.15854157303370744,0.19078947664892776,0.001569051344048944
2024-07-02_06,1,pls,mean_shift,0.1786742263707428,0.21614208265842827,-0.10158364739499604
2024-07-02_06,1,pls,full_map,0.17884235172914223,0.21610855641242313,-0.10158364739500314
2024-07-02_08,1,pls,template,0.4813634333665187,0.49634943383118935,0.48136343336651777
2024-07-02_08,1,pls,mean_shift,0.09431809430671,0.12117290329732948,0.005555808794824202
2024-07-02_08,1,pls,full_map,0.08399636510907159,0.11200436051309842,0.0055558087948170964
2024-07-02_09,1,pls,template,0.24446711705304955,0.2911404591089917,0.240388152467645
2024-07-02_09,1,pls,mean_shift,0.14523815033373522,0.17180894844491795,-0.05041836651816567
2024-07-02_09,1,pls,full_map,0.14419659961139641,0.1777148101519734,-0.050418366518172775
2024-07-02_10,1,pls,template,0.2973862181766453,0.32790199266279885,0.2954712985350625
2024-07-02_10,1,pls,mean_shift,0.12143502863700606,0.16278010867488227,0.07925235167466838
2024-07-02_10,1,pls,full_map,0.1254193859602269,0.15980851254232376,0.07925235167466127
2024-07-05_01,2,ridge,template,0.5909476519734955,0.6533933032096673,-0.5909476519734937
2024-07-05_01,2,ridge,mean_shift,0.24164349612834857,0.28344569635752687,0.05135933680793414
2024-07-05_01,2,ridge,full_map,0.14496997028179803,0.17334775055746,0.051359336807927036
2024-07-05_02,2,ridge,template,0.5882352924229329,0.6044792726105188,-0.5882352924229295
2024-07-05_02,2,ridge,mean_shift,0.11044611841438706,0.1400620372993001,-0.015586613762522461
2024-07-05_02,2,ridge,full_map,0.09017361598120528,0.15778485776600312,-0.015586613762522461
2024-07-05_03,2,ridge,template,0.33805776433304563,0.34091727508115377,-0.338057764333044
2024-07-05_03,2,ridge,mean_shift,0.06672923620478448,0.07409708478589276,0.059572154156668944
2024-07-05_03,2,ridge,full_map,0.06654017198825221,0.10304742957844962,0.059572154156668944
2024-07-05_04,2,ridge,template,0.17793549409392084,0.19950522748154673,0.17793549409392284
2024-07-05_04,2,ridge,mean_shift,0.08088855522831542,0.11956016972995195,0.07844321801047016
2024-07-05_04,2,ridge,full_map,0.09169309064281989,0.1258605759428579,0.07844321801047016
2024-07-05_05,2,ridge,template,0.07485298184961113,0.11141938338220372,0.056873696341114055
2024-07-05_05,2,ridge,mean_shift,0.2288024671132595,0.24805287866679496,0.2288024671132618
2024-07-05_05,2,ridge,full_map,0.2288024671132535,0.25158548891999194,0.2288024671132547
2024-07-05_06,2,ridge,template,0.1843141457793142,0.22158735312189487,0.18431414577931804
2024-07-05_06,2,ridge,mean_shift,0.0929980868085188,0.1442939580064509,0.07544200148431202
2024-07-05_06,2,ridge,full_map,0.07616491747776438,0.11349559313918149,0.07544200148431202
2024-07-05_07,2,ridge,template,0.3005411120714491,0.32464758908768193,0.30054111207144985
2024-07-05_07,2,ridge,mean_shift,0.19303068262622175,0.2287617570540281,0.19303068262622247
2024-07-05_07,2,ridge,full_map,0.19303068262621584,0.22184359740679716,0.19303068262622247
2024-07-05_08,2,ridge,template,0.6336208873523479,0.6483112893609753,0.6336208873523503
