experiment_key,group_name,time_samples,wavelengths,wavelength_min_nm,wavelength_max_nm,median_step_seconds,effective_sample_rate_hz,maximum_gap_seconds,oes_duration_seconds,process_regular_duration_seconds,duration_difference_seconds,process_active_start_elapsed_seconds,process_active_end_elapsed_seconds,minimum_dictionary_code,maximum_dictionary_code,dictionary_size,wavelength_axis_matches,active_window_covered,passes_integrity_gate,has_direct_89_point_target
2024-08-21_01,Wafer_01,14703,3648,185.89122009277344,883.9669552284213,0.04265999794006348,23.44116381357969,0.16402602195739746,648.9486739635468,648.7999999523163,0.14867401123046875,30.0,627.7999999523163,7,61439,61443,True,True,True,True
2024-08-21_02,Wafer_02,14667,3648,185.89122009277344,883.9669552284213,0.042707085609436035,23.41531822482994,0.17243504524230957,648.1750931739807,648.7999999523163,-0.6249067783355713,30.0,627.7999999523163,139,61383,61443,True,True,True,True
2024-08-21_03,Wafer_03,14747,3648,185.89122009277344,883.9669552284213,0.04241597652435303,23.576022101621366,0.16775298118591309,648.7940261363983,649.0,-0.20597386360168457,30.0,628.0,16,61373,61443,True,True,True,True
2024-08-21_04,Wafer_04,14617,3648,185.89122009277344,883.9669552284213,0.04287242889404297,23.32501390279168,0.20781493186950684,648.3969180583954,649.0,-0.6030819416046143,30.0,628.0,108,61292,61443,True,True,True,True
2024-08-21_05,Wafer_05,14359,3648,185.89122009277344,883.9669552284213,0.04250001907348633,23.529401204995008,1.091522216796875,648.8536729812622,649.0,-0.14632701873779297,30.0,628.0,122,61350,61443,True,True,True,True
2024-08-21_06,Wafer_06,14928,3648,185.89122009277344,883.9669552284213,0.04261612892150879,23.465294134101654,0.2107410430908203,659.2395670413971,659.4000000953674,-0.16043305397033691,43.40000009536743,638.4000000953674,81,61381,61443,True,True,True,True
2024-08-21_07,Wafer_07,14583,3648,185.89122009277344,883.9669552284213,0.0429689884185791,23.272598141212374,0.21267390251159668,648.3874611854553,649.0,-0.6125388145446777,30.0,628.0,6,61380,61443,True,True,True,True
2024-08-21_08,Wafer_08,14750,3648,185.89122009277344,883.9669552284213,0.04239916801452637,23.58536845952709,0.18868803977966309,648.9047379493713,648.7999999523163,0.10473799705505371,30.009999990463257,628.0099999904633,114,61337,61443,True,True,True,True
2024-08-21_09,Wafer_09,14464,3648,185.89122009277344,883.9669552284213,0.04271292686462402,23.41211603619293,0.148360013961792,638.4440898895264,638.3999998569489,0.04409003257751465,15.399999856948853,617.5999999046326,53,56936,61443,True,True,True,False
2024-08-21_10,Wafer_10,14849,3648,185.89122009277344,883.9669552284213,0.04231846332550049,23.630347640657703,0.2722971439361572,648.3091330528259,648.8000001907349,-0.49086713790893555,30.0,628.0099999904633,74,61364,61443,True,True,True,True
