held_out_lot,family,feature,feature_group,sensor_family,importance_metric,importance,coefficient_sign,rank,top_20
1,pls,Stat3_Etch_MV_Gas5Flow__phase_difference,G3_bosch_phase,gas_or_backside_flow,VIP,0.5142658595071326,-1,181,False
1,pls,Stat3_Etch_MV_Gas5Flow__cycle_mean_std,G4_cycle_behavior,gas_or_backside_flow,VIP,0.8032600987951929,1,120,False
1,pls,Stat3_Etch_MV_Gas5Flow__cycle_mean_slope,G4_cycle_behavior,gas_or_backside_flow,VIP,0.49949623440760393,1,186,False
1,pls,Stat3_Etch_MV_Gas7Flow__active_mean,G1_level,gas_or_backside_flow,VIP,1.0121176750937009,-1,68,False
1,pls,Stat3_Etch_MV_Gas7Flow__active_std,G1_level,gas_or_backside_flow,VIP,1.0272099303823399,1,66,False
1,pls,Stat3_Etch_MV_Gas7Flow__active_range,G1_level,gas_or_backside_flow,VIP,0.9233444210742136,-1,81,False
1,pls,Stat3_Etch_MV_Gas7Flow__active_slope,G2_temporal_drift,gas_or_backside_flow,VIP,0.4147003411956598,1,201,False
1,pls,Stat3_Etch_MV_Gas7Flow__early_late_delta,G2_temporal_drift,gas_or_backside_flow,VIP,0.46199158951822633,1,192,False
1,pls,Stat3_Etch_MV_Gas7Flow__long_phase_mean,G3_bosch_phase,gas_or_backside_flow,VIP,1.0115251856073204,-1,69,False
1,pls,Stat3_Etch_MV_Gas7Flow__short_phase_mean,G3_bosch_phase,gas_or_backside_flow,VIP,1.013332746082522,-1,67,False
1,pls,Stat3_Etch_MV_Gas7Flow__phase_difference,G3_bosch_phase,gas_or_backside_flow,VIP,0.11479664014787766,-1,241,False
1,pls,Stat3_Etch_MV_Gas7Flow__cycle_mean_std,G4_cycle_behavior,gas_or_backside_flow,VIP,0.885215540286237,-1,96,False
1,pls,Stat3_Etch_MV_Gas7Flow__cycle_mean_slope,G4_cycle_behavior,gas_or_backside_flow,VIP,0.4122904841078557,1,202,False
1,pls,Stat3_Etch_MV_Heater1Temp__active_mean,G1_level,heater_temperature,VIP,0.6533666067416476,-1,154,False
1,pls,Stat3_Etch_MV_Heater1Temp__active_std,G1_level,heater_temperature,VIP,0.6867136561273885,-1,144,False
1,pls,Stat3_Etch_MV_Heater1Temp__active_slope,G2_temporal_drift,heater_temperature,VIP,0.27568971297957917,-1,225,False
1,pls,Stat3_Etch_MV_Heater1Temp__early_late_delta,G2_temporal_drift,heater_temperature,VIP,0.3148391931019568,-1,219,False
1,pls,Stat3_Etch_MV_Heater1Temp__long_phase_mean,G3_bosch_phase,heater_temperature,VIP,0.5744951030632954,-1,167,False
1,pls,Stat3_Etch_MV_Heater1Temp__short_phase_mean,G3_bosch_phase,heater_temperature,VIP,0.6999918768115994,-1,142,False
1,pls,Stat3_Etch_MV_Heater1Temp__phase_difference,G3_bosch_phase,heater_temperature,VIP,0.2905275064031555,1,222,False
1,pls,Stat3_Etch_MV_Heater1Temp__cycle_mean_std,G4_cycle_behavior,heater_temperature,VIP,0.20981030981286575,1,234,False
1,pls,Stat3_Etch_MV_Heater1Temp__cycle_mean_slope,G4_cycle_behavior,heater_temperature,VIP,0.29654911015004554,-1,221,False
1,pls,Stat3_Etch_MV_Heater2Temp__active_mean,G1_level,heater_temperature,VIP,0.6113224116412453,1,164,False
1,pls,Stat3_Etch_MV_Heater2Temp__active_std,G1_level,heater_temperature,VIP,1.482410149121674,-1,32,False
1,pls,Stat3_Etch_MV_Heater2Temp__active_range,G1_level,heater_temperature,VIP,1.2897205510544152,-1,43,False
1,pls,Stat3_Etch_MV_Heater2Temp__active_slope,G2_temporal_drift,heater_temperature,VIP,1.002429456764945,-1,70,False
1,pls,Stat3_Etch_MV_Heater2Temp__early_late_delta,G2_temporal_drift,heater_temperature,VIP,0.8194826437893434,-1,116,False
1,pls,Stat3_Etch_MV_Heater2Temp__long_phase_mean,G3_bosch_phase,heater_temperature,VIP,0.6120799732618913,1,162,False
1,pls,Stat3_Etch_MV_Heater2Temp__short_phase_mean,G3_bosch_phase,heater_temperature,VIP,0.609186400400297,1,165,False
1,pls,Stat3_Etch_MV_Heater2Temp__phase_difference,G3_bosch_phase,heater_temperature,VIP,0.44881167583874304,1,194,False
1,pls,Stat3_Etch_MV_Heater2Temp__cycle_mean_std,G4_cycle_behavior,heater_temperature,VIP,1.489179723110855,-1,31,False
1,pls,Stat3_Etch_MV_Heater2Temp__cycle_mean_slope,G4_cycle_behavior,heater_temperature,VIP,1.000964121295612,-1,71,False
1,pls,Stat3_Etch_MV_Heater3Temp__active_mean,G1_level,heater_temperature,VIP,1.1374807292281688,-1,55,False
1,pls,Stat3_Etch_MV_Heater3Temp__active_std,G1_level,heater_temperature,VIP,1.455826047772065,1,35,False
1,pls,Stat3_Etch_MV_Heater3Temp__active_range,G1_level,heater_temperature,VIP,1.2253115550541516,1,46,False
1,pls,Stat3_Etch_MV_Heater3Temp__active_slope,G2_temporal_drift,heater_temperature,VIP,0.4914010517995147,-1,187,False
1,pls,Stat3_Etch_MV_Heater3Temp__early_late_delta,G2_temporal_drift,heater_temperature,VIP,0.5522164314238246,-1,171,False
1,pls,Stat3_Etch_MV_Heater3Temp__long_phase_mean,G3_bosch_phase,heater_temperature,VIP,1.1274584041729099,-1,56,False
1,pls,Stat3_Etch_MV_Heater3Temp__short_phase_mean,G3_bosch_phase,heater_temperature,VIP,1.1599804011303134,-1,50,False
1,pls,Stat3_Etch_MV_Heater3Temp__phase_difference,G3_bosch_phase,heater_temperature,VIP,0.22239470794125019,1,232,False
1,pls,Stat3_Etch_MV_Heater3Temp__cycle_mean_std,G4_cycle_behavior,heater_temperature,VIP,1.4106482615151312,1,37,False
1,pls,Stat3_Etch_MV_Heater3Temp__cycle_mean_slope,G4_cycle_behavior,heater_temperature,VIP,0.4840551528855655,-1,188,False
1,pls,Stat3_Etch_MV_Heater4Temp__active_mean,G1_level,heater_temperature,VIP,0.3717630151036546,-1,210,False
1,pls,Stat3_Etch_MV_Heater4Temp__active_std,G1_level,heater_temperature,VIP,0.9988458699890433,1,72,False
1,pls,Stat3_Etch_MV_Heater4Temp__active_range,G1_level,heater_temperature,VIP,0.9830417368522578,1,74,False
1,pls,Stat3_Etch_MV_Heater4Temp__active_slope,G2_temporal_drift,heater_temperature,VIP,0.2973827795187147,1,220,False
1,pls,Stat3_Etch_MV_Heater4Temp__early_late_delta,G2_temporal_drift,heater_temperature,VIP,0.7060134643915925,1,140,False
1,pls,Stat3_Etch_MV_Heater4Temp__long_phase_mean,G3_bosch_phase,heater_temperature,VIP,0.37083481798372064,-1,211,False
1,pls,Stat3_Etch_MV_Heater4Temp__short_phase_mean,G3_bosch_phase,heater_temperature,VIP,0.37431194190327205,-1,208,False
1,pls,Stat3_Etch_MV_Heater4Temp__phase_difference,G3_bosch_phase,heater_temperature,VIP,0.3672262018071794,-1,212,False
1,pls,Stat3_Etch_MV_Heater4Temp__cycle_mean_std,G4_cycle_behavior,heater_temperature,VIP,0.8802820513709599,1,101,False
1,pls,Stat3_Etch_MV_Heater4Temp__cycle_mean_slope,G4_cycle_behavior,heater_temperature,VIP,0.328739349910101,1,218,False
1,pls,Stat3_Etch_MV_HeliumBPFlow__active_mean,G1_level,gas_or_backside_flow,VIP,0.5592159076395468,1,169,False
1,pls,Stat3_Etch_MV_HeliumBPFlow__active_std,G1_level,gas_or_backside_flow,VIP,0.7114680248132413,-1,139,False
1,pls,Stat3_Etch_MV_HeliumBPFlow__active_range,G1_level,gas_or_backside_flow,VIP,0.7215432431905106,-1,136,False
1,pls,Stat3_Etch_MV_HeliumBPFlow__active_slope,G2_temporal_drift,gas_or_backside_flow,VIP,0.9570099982716282,1,79,False
1,pls,Stat3_Etch_MV_HeliumBPFlow__early_late_delta,G2_temporal_drift,gas_or_backside_flow,VIP,0.9889904711769177,1,73,False
1,pls,Stat3_Etch_MV_HeliumBPFlow__long_phase_mean,G3_bosch_phase,gas_or_backside_flow,VIP,0.5623844853939354,1,168,False
1,pls,Stat3_Etch_MV_HeliumBPFlow__short_phase_mean,G3_bosch_phase,gas_or_backside_flow,VIP,0.5504276161688275,1,175,False
1,pls,Stat3_Etch_MV_HeliumBPFlow__phase_difference,G3_bosch_phase,gas_or_backside_flow,VIP,0.8494927153459763,-1,107,False
