ablation,held_out_lot,family,training_wafers,test_wafers,retained_features,mean_parameter,mean_fitted_model,mean_inner_lot_macro_mae,residual_parameter,residual_fitted_model,residual_inner_lot_macro_rmse,residual_components,residual_explained_variance,held_out_lot_mae
family_only__gas_or_backside_flow,2,pls,78,10,58,1,,0.3264621660135411,1,,0.22510185516649223,3,0.9230020070637441,0.25631639616277313
family_only__gas_or_backside_flow,3,pls,78,10,58,2,,0.3167537846458012,2,,0.1949457725537914,3,0.9563596473865388,0.34260978652882984
family_only__gas_or_backside_flow,4,pls,78,10,58,1,,0.3124859902293561,1,,0.22735567001873497,3,0.9240841919375616,0.3960091629351789
family_only__gas_or_backside_flow,5,pls,78,10,58,1,,0.30572105366976127,1,,0.22108879494390937,3,0.9217592453861796,0.3710479566645965
family_only__gas_or_backside_flow,6,pls,78,10,58,1,,0.3114147630647103,1,,0.16538212439423433,3,0.9352934206888084,0.32795639836809637
family_only__gas_or_backside_flow,7,pls,82,6,58,1,,0.3257578650767542,1,,0.22357558936434266,3,0.9226528933479736,0.2271067645943352
family_only__gas_or_backside_flow,8,pls,78,10,58,4,,0.28038358630461935,1,,0.22659131549545058,3,0.9264899355054267,0.5131478459184334
family_only__gas_or_backside_flow,9,pls,79,9,58,1,,0.32507997186239673,1,,0.22473555615421079,3,0.9225898105347882,0.26703093662630023
family_only__gas_or_backside_flow,10,pls,84,4,58,1,,0.29968448698625827,1,,0.2174170974276025,3,0.9243245451313368,0.46316719666424433
family_only__heater_temperature,1,pls,79,9,39,1,,0.2752022928503511,1,,0.187846861850694,3,0.9637965610994957,0.2691085397376271
family_only__heater_temperature,2,pls,78,10,39,1,,0.2725836572856997,1,,0.20499881495197567,3,0.9230020070637441,0.2469104496172442
family_only__heater_temperature,3,pls,78,10,39,1,,0.256514007442991,1,,0.1644447524176177,3,0.9563596473865388,0.2617733478374523
family_only__heater_temperature,4,pls,78,10,39,1,,0.25323356891210813,1,,0.20261994089364885,3,0.9240841919375616,0.37741871901125024
family_only__heater_temperature,5,pls,78,10,39,1,,0.24570990174662644,1,,0.19707596410597703,3,0.9217592453861796,0.31863563273713913
family_only__heater_temperature,6,pls,78,10,39,1,,0.2742149547433427,1,,0.14836110808245992,3,0.9352934206888084,0.2625653489068377
family_only__heater_temperature,7,pls,82,6,39,1,,0.28546475234016083,1,,0.20393367358008513,3,0.9226528933479736,0.06646092704653377
family_only__heater_temperature,8,pls,78,10,39,1,,0.22362568349445747,1,,0.19466342733654066,3,0.9264899355054267,0.4946995986052956
family_only__heater_temperature,9,pls,79,9,39,1,,0.2783593168433704,1,,0.20397579534677823,3,0.9225898105347882,0.18932821329949312
family_only__heater_temperature,10,pls,84,4,39,1,,0.2643762788141942,1,,0.20013185663394553,3,0.9243245451313368,0.24113104832273016
family_only__pressure,1,pls,79,9,30,2,,0.2491478327725217,1,,0.21107833065806608,3,0.9637965610994957,0.27633290397377924
family_only__pressure,2,pls,78,10,30,2,,0.2542826799204099,1,,0.22363446439649604,3,0.9230020070637441,0.24640514428026505
family_only__pressure,3,pls,78,10,30,2,,0.2556453592855852,1,,0.18840501169338958,3,0.9563596473865388,0.2412603576365245
family_only__pressure,4,pls,78,10,30,2,,0.2367011798629743,1,,0.21986451908961685,3,0.9240841919375616,0.41204562571561476
family_only__pressure,5,pls,78,10,30,4,,0.23666571172684817,1,,0.2209022986433071,3,0.9217592453861796,0.35606974945564707
family_only__pressure,6,pls,78,10,30,2,,0.24853640442205638,1,,0.1555691095589602,3,0.9352934206888084,0.31295767858698176
family_only__pressure,7,pls,82,6,30,2,,0.2610049559634386,1,,0.22352116234373667,3,0.9226528933479736,0.17417730369747106
family_only__pressure,8,pls,78,10,30,4,,0.2520287988280105,1,,0.22471614968651718,3,0.9264899355054267,0.32543557956912395
family_only__pressure,9,pls,79,9,30,2,,0.2596573703463753,1,,0.22381293125292365,3,0.9225898105347882,0.2301558303305914
family_only__pressure,10,pls,84,4,30,2,,0.24340585821986072,1,,0.21946953940528743,3,0.9243245451313368,0.27379617540055384
family_only__remaining_process_signals,1,pls,79,9,10,2,,0.30459669155912944,1,,0.18651560609011103,3,0.9637965610994957,0.35628056558434973
family_only__remaining_process_signals,2,pls,78,10,10,1,,0.32267908738126583,1,,0.20261608875916465,3,0.9230020070637441,0.27482242934187495
