ablation,retained_feature_count,wafer_macro_full_map_mae,wafer_macro_full_map_rmse,lot_macro_full_map_mae,wafer_mean_shift_mae,residual_profile_mae,residual_profile_rmse,worst_lot_mae,runtime_seconds,lots_improved_over_previous
A_G1,93,0.13480064183179585,0.1901947767608619,0.13276001758190925,0.10958023766797757,0.07764557871483237,0.13284809334430706,0.17573994798358145,2.5791506999994454,
B_G1_G2,155,0.1459831980092704,0.19925087633105631,0.1430486235634497,0.12028378779292037,0.07866218157136623,0.13159717201950336,0.25033695498490294,2.6954428999997617,4.0
C_G1_G2_G3,248,0.13811127663964085,0.19370513172458234,0.1354872964874521,0.11267885695995995,0.07898044658311874,0.13274195799245422,0.2081151361175412,2.7890652999994927,6.0
D_all,310,0.14585171608035694,0.20043288841721738,0.14213967030343197,0.12204725016742778,0.07877117973578174,0.13197935124853807,0.2470046884890146,2.8562727000007726,3.0
family_only__gas_or_backside_flow,80,0.3439046520792635,0.39190111288364854,0.34504086792779454,0.33254862078423275,0.09977701607137143,0.1569747955867236,0.5131478459184334,2.4903669000013906,
family_only__heater_temperature,40,0.2853324034097318,0.3298126958078136,0.27280318251216035,0.2721248129724609,0.08407304029782438,0.13759507693290376,0.4946995986052956,2.6127123000005668,
family_only__pressure,30,0.2913680509655449,0.3421080541148865,0.28486363486465527,0.2743740460840828,0.09829131611763599,0.15683497703997598,0.41204562571561476,2.305649199999607,
family_only__remaining_process_signals,20,0.3354263900639933,0.3742423577709756,0.33291271280126244,0.3255884276916914,0.08956375690934365,0.14052983625737142,0.48169731151323686,2.40038579999964,
family_only__rf_power_matching_electrical,140,0.1422151141720006,0.19868812912702738,0.14472789980595557,0.11995028451645813,0.08082171686881369,0.13465790322306861,0.20816296436727563,2.5325463999997737,
