experiment_key,test_lot,calibration_lot,nominal_coverage,X,Y,observed,predicted,absolute_error,point_half_width,point_covered,simultaneous_half_width,simultaneous_map_covered
2024-07-11_01,4,3,0.8,-38000.0,-19000.0,42.1382,41.91251534349107,0.22568465650892477,0.3764520799139319,True,2.634390738119265,True
2024-07-11_01,4,3,0.8,-19000.0,-19000.0,42.5139,42.24713705883602,0.26676294116398225,0.5272768670897179,True,2.634390738119265,True
2024-07-11_01,4,3,0.8,0.0,-19000.0,42.6833,42.37441814809892,0.3088818519010843,0.5206838608957582,True,2.634390738119265,True
2024-07-11_01,4,3,0.8,19000.0,-19000.0,42.5089,42.15578749861414,0.3531125013858585,0.5073667036571408,True,2.634390738119265,True
2024-07-11_01,4,3,0.8,38000.0,-19000.0,42.1206,41.704118342872405,0.41648165712759777,0.48274534738869335,True,2.634390738119265,True
2024-07-11_01,4,3,0.8,57000.0,-19000.0,42.0208,41.530783716545265,0.4900162834547359,0.4660566542106821,False,2.634390738119265,True
2024-07-11_01,4,3,0.8,76000.0,-19000.0,43.6311,43.04548850843211,0.5856114915678958,0.4804133729474529,False,2.634390738119265,True
2024-07-11_01,4,3,0.8,95000.0,-19000.0,52.1109,50.92849006419024,1.1824099358097584,2.634390738119265,True,2.634390738119265,True
2024-07-11_01,4,3,0.8,-95000.0,0.0,51.4084,50.76034494265813,0.6480550573418711,0.6614351708015462,True,2.634390738119265,True
2024-07-11_01,4,3,0.8,-76000.0,0.0,43.091,42.81601082484287,0.27498917515713117,0.5124110309307994,True,2.634390738119265,True
2024-07-11_01,4,3,0.8,-57000.0,0.0,41.7171,41.482971692822865,0.23412830717713717,0.34614366206186986,True,2.634390738119265,True
2024-07-11_01,4,3,0.8,-38000.0,0.0,41.9293,41.683106274539874,0.24619372546012386,0.4176892227225224,True,2.634390738119265,True
2024-07-11_01,4,3,0.8,-19000.0,0.0,42.3849,42.10114014088277,0.28375985911723234,0.5209486835909374,True,2.634390738119265,True
2024-07-11_01,4,3,0.8,0.0,0.0,42.61,42.26927809074172,0.34072190925827783,0.5095120603356165,True,2.634390738119265,True
2024-07-11_01,4,3,0.8,19000.0,0.0,42.363,41.99508942028176,0.3679105797182416,0.4917842350500692,True,2.634390738119265,True
2024-07-11_01,4,3,0.8,38000.0,0.0,41.899,41.48068932215191,0.4183106778480905,0.48114826059054394,True,2.634390738119265,True
2024-07-11_01,4,3,0.8,57000.0,0.0,41.6499,41.17577309391708,0.4741269060829225,0.48067314293945884,True,2.634390738119265,True
2024-07-11_01,4,3,0.8,76000.0,0.0,42.9106,42.35108425063794,0.5595157493620633,0.4875268651894942,False,2.634390738119265,True
2024-07-11_01,4,3,0.8,95000.0,0.0,50.8078,49.971049620001125,0.8367503799988754,0.7385075568427553,False,2.634390738119265,True
2024-07-11_01,4,3,0.8,-95000.0,19000.0,50.2411,49.93652788816877,0.30457211183123434,0.6240327509484374,True,2.634390738119265,True
2024-07-11_01,4,3,0.8,-76000.0,19000.0,43.2571,42.93733572037585,0.31976427962415244,0.5772673423020578,True,2.634390738119265,True
2024-07-11_01,4,3,0.8,-57000.0,19000.0,41.5028,41.2441253510547,0.258674648945302,0.43601624773811665,True,2.634390738119265,True
2024-07-11_01,4,3,0.8,-38000.0,19000.0,41.5894,41.31270598285223,0.27669401714776853,0.48873898833470264,True,2.634390738119265,True
2024-07-11_01,4,3,0.8,-19000.0,19000.0,41.9273,41.64565745570119,0.28164254429881197,0.5249267267322679,True,2.634390738119265,True
2024-07-11_01,4,3,0.8,0.0,19000.0,42.1096,41.78300387458053,0.3265961254194707,0.5131024920987599,True,2.634390738119265,True
2024-07-11_01,4,3,0.8,19000.0,19000.0,41.8933,41.52650533397858,0.36679466602142696,0.48496268709885726,True,2.634390738119265,True
2024-07-11_01,4,3,0.8,38000.0,19000.0,41.5181,41.085543409872784,0.4325565901272128,0.4743134424068316,True,2.634390738119265,True
2024-07-11_01,4,3,0.8,57000.0,19000.0,41.4161,40.9367591115338,0.47934088846619716,0.47215298653625837,False,2.634390738119265,True
2024-07-11_01,4,3,0.8,76000.0,19000.0,43.0268,42.45986496438184,0.5669350356181582,0.4956123188486785,False,2.634390738119265,True
2024-07-11_01,4,3,0.8,95000.0,19000.0,51.5257,50.2891504728597,1.2365495271402978,0.6996200860146544,False,2.634390738119265,True
2024-07-11_01,4,3,0.8,-76000.0,38000.0,44.8874,44.4736932288527,0.4137067711472966,0.5985111603935565,True,2.634390738119265,True
2024-07-11_01,4,3,0.8,-57000.0,38000.0,41.6554,41.35493322764838,0.3004667723516192,0.5111008793092608,True,2.634390738119265,True
2024-07-11_01,4,3,0.8,-38000.0,38000.0,41.1617,40.88159082104685,0.280109178953154,0.4509603336921302,True,2.634390738119265,True
2024-07-11_01,4,3,0.8,-19000.0,38000.0,41.2676,40.96499160896981,0.30260839103019066,0.503848268292046,True,2.634390738119265,True
2024-07-11_01,4,3,0.8,0.0,38000.0,41.3891,41.049674383113604,0.3394256168863947,0.504644855795604,True,2.634390738119265,True
2024-07-11_01,4,3,0.8,19000.0,38000.0,41.2461,40.87515947823012,0.37094052176988157,0.4795004082349905,True,2.634390738119265,True
2024-07-11_01,4,3,0.8,38000.0,38000.0,41.093,40.65737029792244,0.4356297020775628,0.47820695622893084,True,2.634390738119265,True
2024-07-11_01,4,3,0.8,57000.0,38000.0,41.5337,41.01042225705881,0.5232777429411897,0.4720346614051465,False,2.634390738119265,True
2024-07-11_01,4,3,0.8,76000.0,38000.0,44.528,43.90828561484419,0.6197143851558096,0.5071922108148783,False,2.634390738119265,True
2024-07-11_01,4,3,0.8,-76000.0,57000.0,50.5149,49.853689649060996,0.661210350939001,0.6347730608612352,False,2.634390738119265,True
2024-07-11_01,4,3,0.8,-57000.0,57000.0,43.1848,42.81663919272912,0.36816080727088263,0.5760647027291128,True,2.634390738119265,True
2024-07-11_01,4,3,0.8,-38000.0,57000.0,41.3356,41.00848552583969,0.3271144741603109,0.531593987050826,True,2.634390738119265,True
2024-07-11_01,4,3,0.8,-19000.0,57000.0,40.9207,40.58493466686877,0.3357653331312278,0.5082956737020865,True,2.634390738119265,True
