experiment_key,lot_number,family,stage,mae,rmse,mean_error,mean_predicted_std
2024-07-11_02,4,process_only_pls,mean_shift,0.24234905483820338,0.28416233343630415,-0.24234905483820057,
2024-07-11_02,4,process_only_pls,full_map,0.24441063301708718,0.266630131592739,-0.24234905483820768,
2024-07-11_03,4,process_only_pls,template,0.635186168151878,0.6423271820495496,-0.6351861681518756,
2024-07-11_03,4,process_only_pls,mean_shift,1.8537937538035996,1.8562526827534798,-1.8537937538036005,
2024-07-11_03,4,process_only_pls,full_map,1.8537937538036044,1.8548156585082296,-1.8537937538036076,
2024-07-11_04,4,process_only_pls,template,0.31170639287097895,0.32002495019818056,-0.311706392870974,
2024-07-11_04,4,process_only_pls,mean_shift,0.18824531470990064,0.2017210745136472,-0.1882453147098957,
2024-07-11_04,4,process_only_pls,full_map,0.18824531470990497,0.19231579389973066,-0.1882453147098957,
2024-07-11_05,4,process_only_pls,template,0.24555246028670935,0.256403305842241,-0.24555246028671007,
2024-07-11_05,4,process_only_pls,mean_shift,2.1609677585088667,2.162227623958405,-2.1609677585088747,
2024-07-11_05,4,process_only_pls,full_map,2.1609677585088716,2.166064123186922,-2.1609677585088747,
2024-07-11_06,4,process_only_pls,template,0.059347772181325247,0.08530576306871113,0.033073382409916974,
2024-07-11_06,4,process_only_pls,mean_shift,0.12397179189827376,0.14023325200988937,0.1161126193855182,
2024-07-11_06,4,process_only_pls,full_map,0.11995038647458756,0.13647013963494867,0.1161126193855111,
2024-07-11_07,4,process_only_pls,template,0.4559682681131351,0.46998102503680056,0.455555404881828,
2024-07-11_07,4,process_only_pls,mean_shift,0.08338422415997866,0.12521032692577086,0.0482305814941526,
2024-07-11_07,4,process_only_pls,full_map,0.095343672099377,0.22927396483042403,0.0482305814941455,
2024-07-11_08,4,process_only_pls,template,0.5299509104998072,0.5418682394491311,0.5299509104998066,
2024-07-11_08,4,process_only_pls,mean_shift,0.09933672833879131,0.14184767669221715,0.08571780444489718,
2024-07-11_08,4,process_only_pls,full_map,0.14440882365148883,0.3029877789431715,0.08571780444489718,
2024-07-11_09,4,process_only_pls,template,0.7207767531964365,0.7302913859553926,0.7207767531964322,
2024-07-11_09,4,process_only_pls,mean_shift,0.4374061110902019,0.45291333218542523,0.43740611109019767,
2024-07-11_09,4,process_only_pls,full_map,0.4374061110901971,0.45314005596269097,0.43740611109019056,
2024-07-11_10,4,process_only_pls,template,0.24994916698954012,0.27947915099274295,0.24522394420766602,
2024-07-11_10,4,process_only_pls,mean_shift,1.6730432704780542,1.6784062672424578,-1.6730432704780611,
2024-07-11_10,4,process_only_pls,full_map,1.6730432704780598,1.6804155452326137,-1.6730432704780682,
2024-08-01_01,6,process_only_pls,template,0.0951956605966675,0.14647924760350872,-0.07597969779155278,
2024-08-01_01,6,process_only_pls,mean_shift,0.49755395287100873,0.5130723063268572,0.4975539528710087,
2024-08-01_01,6,process_only_pls,full_map,0.49755395287100646,0.5206500943128759,0.49755395287100157,
2024-08-01_02,6,process_only_pls,template,0.5155437427353728,0.5300074903210228,-0.5155437427353746,
2024-08-01_02,6,process_only_pls,mean_shift,0.14478747870092012,0.16547736656535628,0.11072565069852658,
2024-08-01_02,6,process_only_pls,full_map,0.11072565069852634,0.14782916475517946,0.11072565069852658,
2024-08-01_03,6,process_only_pls,template,0.3906830685780697,0.3985194639850416,-0.39068306857807045,
2024-08-01_03,6,process_only_pls,mean_shift,0.26765399263580675,0.27896803199513137,-0.26765399263580747,
2024-08-01_03,6,process_only_pls,full_map,0.2676539926358089,0.27023509267788,-0.26765399263580747,
2024-08-01_04,6,process_only_pls,template,0.21687070902750796,0.2220901694464978,-0.2168707090275106,
