family,wafer_macro_mae,wafer_macro_rmse,median_wafer_mae,wafer_mean_rmse,best_lots
gpr,0.17027718108265608,0.2364303624622548,0.13239876681384527,0.21182636134973634,0
pls,0.1458517160803569,0.20043288841721732,0.11043123859262224,0.17653200849692272,8
ridge,0.15552280215906134,0.21010839257190206,0.12784882857044472,0.18067597903720814,2
