experiment_key,samples,median_step_seconds,maximum_gap_seconds,active_maximum_gap_seconds,active_duration_seconds,detected_cycles,long_phase_sample_fraction,short_phase_sample_fraction
2024-07-02_01,3245.0,0.20000004768371582,42.88000011444092,0.20000004768371582,597.7999999523163,100.0,0.7307692307692307,0.2692307692307692
2024-07-02_02,3298.0,0.20000004768371582,42.769999980926514,0.20000004768371582,595.0,99.0,0.7298387096774194,0.2701612903225806
2024-07-02_03,3247.0,0.20000004768371582,42.44000005722046,0.20000004768371582,598.0,100.0,0.7321965897693079,0.2678034102306921
2024-07-02_04,3247.0,0.20000004768371582,42.5,0.20000004768371582,598.0,100.0,0.7311935807422267,0.2688064192577733
2024-07-02_05,3298.0,0.20000004768371582,42.78999996185303,0.20000004768371582,594.7999999523163,99.0,0.7287394957983193,0.2712605042016807
2024-07-02_06,3246.0,0.20000004768371582,42.60000014305115,0.20000004768371582,598.0,100.0,0.73386827148111,0.26613172851889
2024-07-02_07,3247.0,0.20000004768371582,42.769999980926514,0.20000004768371582,598.0,100.0,0.7291875626880642,0.2708124373119358
2024-07-02_08,3298.0,0.20000004768371582,42.50999999046326,0.20000004768371582,594.8000001907349,99.0,0.7267226890756302,0.27327731092436974
2024-07-02_09,3246.0,0.20000004768371582,42.639999866485596,0.20000004768371582,598.0,100.0,0.7325309261116684,0.2674690738883317
2024-07-02_10,3247.0,0.20000004768371582,45.200000047683716,0.20000004768371582,598.0,100.0,0.73386827148111,0.26613172851889
2024-07-05_01,3245.0,0.20000004768371582,42.34999990463257,0.20000004768371582,597.7999999523163,100.0,0.7304347826086957,0.26956521739130435
2024-07-05_02,3247.0,0.20000004768371582,42.450000047683716,0.20000004768371582,598.0,100.0,0.7328652624540287,0.2671347375459712
2024-07-05_03,3247.0,0.20000004768371582,42.71000003814697,0.20000004768371582,598.0,100.0,0.7315279170845871,0.2684720829154129
2024-07-05_04,3298.0,0.20000004768371582,42.75999999046326,0.21000003814697266,595.0,99.0,0.7278225806451613,0.2721774193548387
2024-07-05_05,3247.0,0.20000004768371582,42.72000002861023,0.20000004768371582,598.0,100.0,0.7348712805081913,0.2651287194918088
2024-07-05_06,3247.0,0.20000004768371582,42.43999981880188,0.20000004768371582,598.0,100.0,0.7301905717151455,0.26980942828485455
2024-07-05_07,3247.0,0.20000004768371582,42.480000019073486,0.20000004768371582,598.0,100.0,0.7331995987963892,0.2668004012036108
2024-07-05_08,3299.0,0.20000004768371582,42.55999994277954,0.21000003814697266,595.0,99.0,0.7338709677419355,0.2661290322580645
2024-07-05_09,3246.0,0.20000004768371582,42.6800000667572,0.20000004768371582,597.7999999523163,100.0,0.7334448160535118,0.2665551839464883
2024-07-05_10,3246.0,0.20000004768371582,0.20000004768371582,0.20000004768371582,598.0,100.0,0.7301905717151455,0.26980942828485455
2024-07-09_01,3247.0,0.20000004768371582,42.72000002861023,0.21000003814697266,598.0,100.0,0.7308592443998663,0.26914075560013373
2024-07-09_02,3298.0,0.20000004768371582,42.50999999046326,0.20000004768371582,595.0,99.0,0.7321908602150538,0.26780913978494625
2024-07-09_03,3247.0,0.20000004768371582,42.72000002861023,0.21000003814697266,598.0,100.0,0.7315279170845871,0.2684720829154129
2024-07-09_04,3247.0,0.20000004768371582,42.47000002861023,0.20000004768371582,598.0,100.0,0.7328652624540287,0.2671347375459712
2024-07-09_05,3195.0,0.20000004768371582,42.57000017166138,0.21000003814697266,602.1999998092651,100.0,0.7280876494023905,0.27191235059760954
2024-07-09_06,3246.0,0.20000004768371582,42.71000003814697,0.20000004768371582,598.0,100.0,0.7345369441658308,0.2654630558341692
2024-07-09_07,3246.0,0.20000004768371582,42.84999990463257,0.20000004768371582,597.7999999523163,100.0,0.7344481605351171,0.2655518394648829
2024-07-09_08,3247.0,0.20000004768371582,42.420000076293945,0.20000004768371582,598.0,100.0,0.7308592443998663,0.26914075560013373
2024-07-09_09,3247.0,0.20000004768371582,42.24000000953674,0.21000003814697266,598.0099999904633,100.0,0.7325309261116684,0.2674690738883317
2024-07-09_10,3349.0,0.20000004768371582,0.21000003814697266,0.21000003814697266,591.7999999523163,99.0,0.7341216216216216,0.26587837837837835
2024-07-11_01,3247.0,0.20000004768371582,41.74000000953674,0.20000004768371582,598.0,100.0,0.7365429622199933,0.2634570377800067
2024-07-11_02,3246.0,0.20000004768371582,41.860000133514404,0.21000003814697266,598.0,100.0,0.7331995987963892,0.2668004012036108
2024-07-11_03,3195.0,0.20000004768371582,41.52999997138977,0.20000004768371582,602.0,100.0,0.732314845566257,0.26768515443374297
2024-07-11_04,3247.0,0.20000004768371582,41.75,0.20000004768371582,598.0,100.0,0.7345369441658308,0.2654630558341692
2024-07-11_05,3195.0,0.20000004768371582,41.579999923706055,0.20000004768371582,602.2000000476837,100.0,0.7333997343957503,0.26660026560424965
2024-07-11_06,3247.0,0.20000004768371582,41.420000076293945,0.20000004768371582,598.0,100.0,0.73386827148111,0.26613172851889
2024-07-11_07,3299.0,0.20000004768371582,41.60000014305115,0.20000004768371582,595.0,99.0,0.7298387096774194,0.2701612903225806
2024-07-11_08,3299.0,0.20000004768371582,41.37000012397766,0.20000004768371582,595.0,99.0,0.7318548387096774,0.26814516129032256
2024-07-11_09,3351.0,0.20000004768371582,41.670000076293945,0.21000003814697266,592.0,99.0,0.7331982438365418,0.2668017561634583
2024-07-11_10,3194.0,0.20000004768371582,0.20000004768371582,0.20000004768371582,602.0,100.0,0.7313184988375955,0.2686815011624045
2024-07-19_01,3196.0,0.20000004768371582,41.30999994277954,0.20000004768371582,602.2000000476837,100.0,0.7277556440903055,0.27224435590969454
2024-07-19_02,3351.0,0.20000004768371582,41.730000019073486,0.20000004768371582,591.8000001907349,99.0,0.7344594594594595,0.26554054054054055
2024-07-19_03,3247.0,0.20000004768371582,41.42999982833862,0.20000004768371582,598.0,100.0,0.7325309261116684,0.2674690738883317
2024-07-19_04,3299.0,0.20000004768371582,41.389999866485596,0.20000004768371582,595.0,99.0,0.728494623655914,0.271505376344086
2024-07-19_05,3246.0,0.20000004768371582,41.609999895095825,0.20000004768371582,597.8000001907349,100.0,0.7304347826086957,0.26956521739130435
2024-07-19_06,3247.0,0.20000004768371582,41.72000002861023,0.20000004768371582,598.0,100.0,0.7328652624540287,0.2671347375459712
2024-07-19_07,3246.0,0.20000004768371582,41.65000009536743,0.20000004768371582,598.0,100.0,0.7345369441658308,0.2654630558341692
