lot_number,policy,requested_budget,selected_wafers,actual_metrology_fraction,retained_mae,random_p025,random_p975
1,oracle,0.3,3,0.3333333333333333,0.14029312399132868,,
1,oracle,0.4,4,0.4444444444444444,0.13322723434770425,,
1,oracle,0.5,4,0.4444444444444444,0.13322723434770425,,
1,oracle,0.6,5,0.5555555555555556,0.12373148408453712,,
1,oracle,0.7,6,0.6666666666666666,0.116909778908931,,
1,oracle,0.8,7,0.7777777777777778,0.1047078755347991,,
1,oracle,0.9,8,0.8888888888888888,0.08399636510907686,,
2,random,0.0,0,0.0,0.10254908176179825,0.10254908176179825,0.10254908176179825
2,random,0.1,1,0.1,0.10262162749522329,0.08758330878113778,0.10746267363912622
2,random,0.2,2,0.2,0.10253444128922076,0.0858134958643287,0.11055255759678134
2,random,0.3,3,0.3,0.10258977629732753,0.08179089314355839,0.11722585111087183
2,random,0.4,4,0.4,0.10257746377052775,0.07899224951423661,0.12222694107284528
2,random,0.5,5,0.5,0.10252923678087132,0.07734683714927772,0.12775132637431874
2,random,0.6,6,0.6,0.10245254870006104,0.07303229279522766,0.13788433013314066
2,random,0.7,7,0.7,0.10262398401600577,0.06830328661395985,0.15098485520435784
2,random,0.8,8,0.8,0.10249998360127563,0.07053517842186575,0.16949142535167638
2,random,0.9,9,0.9,0.10188990987786588,0.05832675486584621,0.23724103858774231
2,periodic,0.0,0,0.0,0.10254908176179825,,
2,periodic,0.1,1,0.1,0.08758330878113778,,
2,periodic,0.2,2,0.2,0.08802369061091628,,
2,periodic,0.3,3,0.3,0.08644411442295807,,
2,periodic,0.4,4,0.4,0.08622809238919732,,
2,periodic,0.5,5,0.5,0.09162728310805998,,
2,periodic,0.6,6,0.6,0.09384820339060367,,
2,periodic,0.7,7,0.7,0.08141282939162374,,
2,periodic,0.8,8,0.8,0.07348619271020328,,
2,periodic,0.9,9,0.9,0.0827436019778853,,
2,ood,0.0,0,0.0,0.10254908176179825,,
2,ood,0.1,1,0.1,0.08758330878113778,,
2,ood,0.2,2,0.2,0.08762880846140111,,
2,ood,0.3,3,0.3,0.08561266508222834,,
2,ood,0.4,4,0.4,0.08540977078015675,,
2,ood,0.5,5,0.5,0.09054111011991302,,
2,ood,0.6,6,0.6,0.08840620666823534,,
2,ood,0.7,7,0.7,0.09843269060236505,,
2,ood,0.8,8,0.8,0.08340192806039753,,
2,ood,0.9,9,0.9,0.08406025414290975,,
2,delta,0.0,0,0.0,0.10254908176179825,,
2,delta,0.1,1,0.1,0.08758330878113778,,
2,delta,0.2,2,0.2,0.0858134958643287,,
2,delta,0.3,3,0.3,0.08953641326189343,,
2,delta,0.4,4,0.4,0.09473802299456797,,
2,delta,0.5,5,0.5,0.09386948280815684,,
2,delta,0.6,6,0.6,0.09562934578653157,,
2,delta,0.7,7,0.7,0.09948570966773884,,
2,delta,0.8,8,0.8,0.1078567635126656,,
2,delta,0.9,9,0.9,0.0872193113390311,,
2,ewma,0.0,0,0.0,0.10254908176179825,,
2,ewma,0.1,1,0.1,0.08758330878113778,,
2,ewma,0.2,2,0.2,0.0858134958643287,,
2,ewma,0.3,3,0.3,0.08974017314982619,,
2,ewma,0.4,4,0.4,0.09016031678495871,,
2,ewma,0.5,5,0.5,0.0883762353566257,,
2,ewma,0.6,6,0.6,0.09553202567543825,,
2,ewma,0.7,7,0.7,0.09979483357462259,,
2,ewma,0.8,8,0.8,0.10627723491460492,,
2,ewma,0.9,9,0.9,0.08406025414290975,,
2,disagreement,0.0,0,0.0,0.10254908176179825,,
2,disagreement,0.1,1,0.1,0.08758330878113778,,
2,disagreement,0.2,2,0.2,0.08767746851694777,,
2,disagreement,0.3,3,0.3,0.0860484320298512,,
2,disagreement,0.4,4,0.4,0.0863797950110081,,
2,disagreement,0.5,5,0.5,0.08710703361763265,,
2,disagreement,0.6,6,0.6,0.08344833899313822,,
2,disagreement,0.7,7,0.7,0.06843304676208425,,
2,disagreement,0.8,8,0.8,0.07277303310243866,,
2,disagreement,0.9,9,0.9,0.0872193113390311,,
2,combined,0.0,0,0.0,0.10254908176179825,,
2,combined,0.1,1,0.1,0.08758330878113778,,
2,combined,0.2,2,0.2,0.0858134958643287,,
2,combined,0.3,3,0.3,0.0839181775697151,,
2,combined,0.4,4,0.4,0.0881834146870266,,
2,combined,0.5,5,0.5,0.09386948280815684,,
2,combined,0.6,6,0.6,0.09562934578653157,,
2,combined,0.7,7,0.7,0.09843269060236505,,
2,combined,0.8,8,0.8,0.10627723491460492,,
2,combined,0.9,9,0.9,0.1284942156863001,,
2,oracle,0.0,0,0.0,0.10254908176179825,,
2,oracle,0.1,1,0.1,0.08758330878113778,,
2,oracle,0.2,2,0.2,0.08246944541799248,,
2,oracle,0.3,3,0.3,0.07971625017547564,,
2,oracle,0.4,4,0.4,0.07648883788361761,,
2,oracle,0.5,5,0.5,0.07434274319253492,,
2,oracle,0.6,6,0.6,0.07122092126700418,,
2,oracle,0.7,7,0.7,0.06694114364170232,,
2,oracle,0.8,8,0.8,0.05903991447361083,,
2,oracle,0.9,9,0.9,0.05832675486584621,,
3,random,0.0,0,0.0,0.14321584379401225,0.14321584379401225,0.14321584379401225
3,random,0.1,1,0.1,0.14328887950298258,0.12106976980716636,0.15212530606605623
3,random,0.2,2,0.2,0.1432354400312924,0.11258308457695536,0.16034225540501135
3,random,0.3,3,0.3,0.14307976695673355,0.10384233836571563,0.16972730655520676
3,random,0.4,4,0.4,0.14319066352123508,0.10204697832360247,0.18131978112451005
3,random,0.5,5,0.5,0.14317617079578931,0.09318150567454944,0.19325018191347504
3,random,0.6,6,0.6,0.1434913552764566,0.08605993779826554,0.20496914199962693
3,random,0.7,7,0.7,0.14346746569138585,0.07994834817747136,0.23508735646003767
3,random,0.8,8,0.8,0.14350072888295304,0.07471019735001586,0.2657468806622398
3,random,0.9,9,0.9,0.14370863260780734,0.06303068334561657,0.34253050967562526
3,periodic,0.0,0,0.0,0.14321584379401225,,
3,periodic,0.1,1,0.1,0.1371333645664974,,
3,periodic,0.2,2,0.2,0.11145872142785643,,
3,periodic,0.3,3,0.3,0.1119447447064229,,
3,periodic,0.4,4,0.4,0.12303573970747543,,
3,periodic,0.5,5,0.5,0.10469103870698235,,
3,periodic,0.6,6,0.6,0.11018183349943493,,
3,periodic,0.7,7,0.7,0.11936027418014716,,
3,periodic,0.8,8,0.8,0.13007900970502426,,
3,periodic,0.9,9,0.9,0.082727859537172,,
3,ood,0.0,0,0.0,0.14321584379401225,,
3,ood,0.1,1,0.1,0.1371333645664974,,
3,ood,0.2,2,0.2,0.11145872142785643,,
3,ood,0.3,3,0.3,0.1119447447064229,,
3,ood,0.4,4,0.4,0.11553142718542965,,
3,ood,0.5,5,0.5,0.12603157595339226,,
3,ood,0.6,6,0.6,0.13594204210313654,,
3,ood,0.7,7,0.7,0.1233332867856376,,
3,ood,0.8,8,0.8,0.1436360004098704,,
3,ood,0.9,9,0.9,0.09830874917088646,,
3,delta,0.0,0,0.0,0.14321584379401225,,
3,delta,0.1,1,0.1,0.14712243105135903,,
3,delta,0.2,2,0.2,0.1551717524906324,,
3,delta,0.3,3,0.3,0.14905940901191622,,
3,delta,0.4,4,0.4,0.14240876857242654,,
3,delta,0.5,5,0.5,0.13613686067578518,,
3,delta,0.6,6,0.6,0.08453844842582513,,
3,delta,0.7,7,0.7,0.07994834817747136,,
3,delta,0.8,8,0.8,0.08840718059339875,,
3,delta,0.9,9,0.9,0.08638971135441513,,
3,ewma,0.0,0,0.0,0.14321584379401225,,
3,ewma,0.1,1,0.1,0.14712243105135903,,
3,ewma,0.2,2,0.2,0.14076796532757319,,
3,ewma,0.3,3,0.3,0.13388292442453303,,
3,ewma,0.4,4,0.4,0.12723536048601627,,
3,ewma,0.5,5,0.5,0.13613686067578518,,
3,ewma,0.6,6,0.6,0.1544134050083273,,
3,ewma,0.7,7,0.7,0.1757429900669756,,
3,ewma,0.8,8,0.8,0.0923492302626508,,
3,ewma,0.9,9,0.9,0.08638971135441513,,
3,disagreement,0.0,0,0.0,0.14321584379401225,,
3,disagreement,0.1,1,0.1,0.1371333645664974,,
3,disagreement,0.2,2,0.2,0.13065462868120278,,
3,disagreement,0.3,3,0.3,0.12449553162771272,,
3,disagreement,0.4,4,0.4,0.12723536048601627,,
3,disagreement,0.5,5,0.5,0.13302068274904227,,
3,disagreement,0.6,6,0.6,0.1505181825998987,,
3,disagreement,0.7,7,0.7,0.08651407357465651,,
3,disagreement,0.8,8,0.8,0.08840718059339875,,
3,disagreement,0.9,9,0.9,0.09042464983238238,,
3,combined,0.0,0,0.0,0.14321584379401225,,
3,combined,0.1,1,0.1,0.1371333645664974,,
3,combined,0.2,2,0.2,0.14076796532757319,,
3,combined,0.3,3,0.3,0.13388292442453303,,
3,combined,0.4,4,0.4,0.12723536048601627,,
3,combined,0.5,5,0.5,0.13613686067578518,,
3,combined,0.6,6,0.6,0.08453844842582513,,
3,combined,0.7,7,0.7,0.09170770345256131,,
3,combined,0.8,8,0.8,0.08840718059339875,,
3,combined,0.9,9,0.9,0.08638971135441513,,
3,oracle,0.0,0,0.0,0.14321584379401225,,
3,oracle,0.1,1,0.1,0.12106976980716636,,
3,oracle,0.2,2,0.2,0.11145872142785643,,
3,oracle,0.3,3,0.3,0.10038664568199959,,
3,oracle,0.4,4,0.4,0.0881563686197273,,
3,oracle,0.5,5,0.5,0.0841763306480945,,
3,oracle,0.6,6,0.6,0.08064322601739651,,
3,oracle,0.7,7,0.7,0.07738275141240124,,
3,oracle,0.8,8,0.8,0.07287927144139428,,
3,oracle,0.9,9,0.9,0.06303068334561657,,
4,random,0.0,0,0.0,0.13620773245565895,0.13620773245565895,0.13620773245565895
4,random,0.1,1,0.1,0.13612772654663582,0.11106347513906227,0.1458843922685872
4,random,0.2,2,0.2,0.13606781873862112,0.10230700641489221,0.1554505119071612
4,random,0.3,3,0.3,0.13604284335960798,0.09547175655251364,0.16504494772565229
4,random,0.4,4,0.4,0.13588130248328545,0.08865320103413575,0.1766502138850096
4,random,0.5,5,0.5,0.13563812987545257,0.08067291141004251,0.19174255350127542
4,random,0.6,6,0.6,0.13557553231461272,0.07554401031163303,0.2075395295879438
4,random,0.7,7,0.7,0.13579353693860075,0.06985057883608854,0.2312583428963314
4,random,0.8,8,0.8,0.1355930376749328,0.05923661464965008,0.27181063661872606
4,random,0.9,9,0.9,0.13551178456982224,0.04911779413930465,0.3625060483050293
4,periodic,0.0,0,0.0,0.13620773245565895,,
4,periodic,0.1,1,0.1,0.14009875652810103,,
4,periodic,0.2,2,0.2,0.14603306300183036,,
4,periodic,0.3,3,0.3,0.15037270135514255,,
4,periodic,0.4,4,0.4,0.15296564065370408,,
4,periodic,0.5,5,0.5,0.17990271070235414,,
4,periodic,0.6,6,0.6,0.21076429324443302,,
4,periodic,0.7,7,0.7,0.11188487975120925,,
4,periodic,0.8,8,0.8,0.07654767798711352,,
4,periodic,0.9,9,0.9,0.056456380534038605,,
4,ood,0.0,0,0.0,0.13620773245565895,,
4,ood,0.1,1,0.1,0.14009875652810103,,
4,ood,0.2,2,0.2,0.14461390586474837,,
4,ood,0.3,3,0.3,0.15204099173996005,,
4,ood,0.4,4,0.4,0.16582191783662079,,
4,ood,0.5,5,0.5,0.17585518249821597,,
4,ood,0.6,6,0.6,0.12919246604651263,,
4,ood,0.7,7,0.7,0.1558840233489153,,
4,ood,0.8,8,0.8,0.1187858027332307,,
4,ood,0.9,9,0.9,0.18111522493242277,,
4,delta,0.0,0,0.0,0.13620773245565895,,
4,delta,0.1,1,0.1,0.1397888625246297,,
4,delta,0.2,2,0.2,0.1428055210241278,,
4,delta,0.3,3,0.3,0.15514111252271195,,
4,delta,0.4,4,0.4,0.15081209378776014,,
4,delta,0.5,5,0.5,0.16244965159765887,,
4,delta,0.6,6,0.6,0.14554194835200246,,
4,delta,0.7,7,0.7,0.0732205817009935,,
4,delta,0.8,8,0.8,0.07515315497149253,,
4,delta,0.9,9,0.9,0.04911779413930465,,
4,ewma,0.0,0,0.0,0.13620773245565895,,
4,ewma,0.1,1,0.1,0.1397888625246297,,
