experiment_key,lot_number,true_pls_mae,ood_percentile,delta_percentile,ewma_percentile,disagreement_percentile,combined_risk
2024-07-11_03,4,0.10397756183492239,0.8333333333333334,0.8846153846153846,0.9102564102564102,0.5384615384615384,0.7916666666666666
2024-07-11_04,4,0.18111522493242277,0.19230769230769232,0.8717948717948718,0.5,0.05128205128205128,0.40384615384615385
2024-07-11_05,4,0.11565559452864504,0.5769230769230769,0.8846153846153846,0.8846153846153846,0.15384615384615385,0.6249999999999999
2024-07-11_06,4,0.056456380534038605,0.23076923076923078,0.8846153846153846,0.3717948717948718,0.02564102564102564,0.3782051282051282
2024-07-11_07,4,0.0693554351599955,0.7435897435897436,0.38461538461538464,0.2564102564102564,0.16666666666666666,0.38782051282051283
2024-07-11_08,4,0.04911779413930465,0.5128205128205128,0.038461538461538464,0.0641025641025641,0.6794871794871795,0.3237179487179487
2024-07-11_09,4,0.3625060483050293,0.5641025641025641,0.48717948717948717,0.358974358974359,0.5769230769230769,0.4967948717948718
2024-07-11_10,4,0.09262430473826651,0.8076923076923077,0.8717948717948718,0.8205128205128205,0.1794871794871795,0.6698717948717948
2024-07-19_01,5,0.24613701891135728,0.9743589743589743,0.9102564102564102,0.9487179487179487,0.9358974358974359,0.9423076923076923
2024-07-19_02,5,0.12883629739536864,0.6666666666666666,0.9871794871794872,0.9871794871794872,1.0,0.9102564102564102
2024-07-19_03,5,0.07703397091620022,0.14102564102564102,0.038461538461538464,0.8461538461538461,0.0641025641025641,0.2724358974358974
2024-07-19_04,5,0.15692490181423444,0.24358974358974358,0.41025641025641024,0.6666666666666666,0.5128205128205128,0.4583333333333333
2024-07-19_05,5,0.13981758944764666,0.19230769230769232,0.6538461538461539,0.6666666666666666,0.11538461538461539,0.40705128205128205
2024-07-19_06,5,0.2250126386943867,0.02564102564102564,0.2948717948717949,0.10256410256410256,0.11538461538461539,0.13461538461538464
2024-07-19_07,5,0.06912044282738238,0.24358974358974358,0.20512820512820512,0.2948717948717949,0.41025641025641024,0.28846153846153844
2024-07-19_08,5,0.144370500486988,0.02564102564102564,0.3076923076923077,0.0,0.6538461538461539,0.2467948717948718
2024-07-19_09,5,0.18461493838592152,0.7307692307692307,0.9102564102564102,0.9358974358974359,0.5,0.7692307692307692
2024-07-19_10,5,0.07814672620230871,0.15384615384615385,0.9743589743589743,0.3974358974358974,0.15384615384615385,0.4198717948717948
2024-08-01_01,6,0.08069664098158832,0.6538461538461539,0.6025641025641025,0.5769230769230769,0.6666666666666666,0.625
2024-08-01_02,6,0.06350174324732817,0.717948717948718,0.5128205128205128,0.5128205128205128,0.7692307692307693,0.6282051282051282
2024-08-01_03,6,0.40083230659862484,0.41025641025641024,0.3333333333333333,0.2948717948717949,0.5384615384615384,0.3942307692307693
2024-08-01_04,6,0.30742005999208194,0.6410256410256411,0.11538461538461539,0.47435897435897434,0.08974358974358974,0.3301282051282051
2024-08-01_05,6,0.08732151090208928,0.1794871794871795,0.07692307692307693,0.0641025641025641,0.1794871794871795,0.125
2024-08-01_06,6,0.13439042873434492,0.782051282051282,0.3076923076923077,0.21794871794871795,0.717948717948718,0.5064102564102565
2024-08-01_07,6,0.2265889779387634,0.782051282051282,0.02564102564102564,0.15384615384615385,0.6410256410256411,0.40064102564102566
2024-08-01_08,6,0.05976994631109198,0.2564102564102564,0.3333333333333333,0.10256410256410256,0.3076923076923077,0.24999999999999997
2024-08-01_09,6,0.08670136836714001,0.1794871794871795,0.0,0.0,0.20512820512820512,0.09615384615384615
2024-08-01_10,6,0.062262579791048274,0.5769230769230769,0.358974358974359,0.28205128205128205,0.5,0.4294871794871795
2024-08-05_01,7,0.1877161149270923,0.8170731707317073,0.47560975609756095,0.45121951219512196,1.0,0.6859756097560975
2024-08-05_02,7,0.10961527448067811,0.6219512195121951,0.6219512195121951,0.5853658536585366,0.14634146341463414,0.4939024390243902
2024-08-05_03,7,0.18551735437066058,0.6951219512195121,0.47560975609756095,0.5609756097560976,0.34146341463414637,0.5182926829268293
2024-08-05_04,7,0.07488498928297473,0.23170731707317074,0.34146341463414637,0.15853658536585366,0.14634146341463414,0.21951219512195125
2024-08-05_05,7,0.04443486249103629,0.5365853658536586,0.07317073170731707,0.10975609756097561,0.7560975609756098,0.36890243902439024
2024-08-05_06,7,0.16890702692310683,0.36585365853658536,0.0975609756097561,0.06097560975609756,0.8780487804878049,0.35060975609756095
2024-08-07_01,8,0.12434599185497239,0.8076923076923077,0.6538461538461539,0.6153846153846154,0.8205128205128205,0.7243589743589745
2024-08-07_02,8,0.09630749261160859,0.2948717948717949,0.6025641025641025,0.5384615384615384,0.48717948717948717,0.4807692307692307
2024-08-07_03,8,0.035135677029531284,0.782051282051282,0.11538461538461539,0.2948717948717949,0.6282051282051282,0.4551282051282051
2024-08-07_04,8,0.029148487493938835,0.3974358974358974,0.46153846153846156,0.3974358974358974,0.07692307692307693,0.3333333333333333
2024-08-07_05,8,0.06628793538499678,0.23076923076923078,0.15384615384615385,0.16666666666666666,0.16666666666666666,0.1794871794871795
2024-08-07_06,8,0.14525938465723787,0.5,0.3333333333333333,0.32051282051282054,0.4358974358974359,0.3974358974358974
2024-08-07_07,8,0.03913524780529103,0.19230769230769232,0.3974358974358974,0.10256410256410256,0.2948717948717949,0.2467948717948718
2024-08-07_08,8,0.414325629995052,0.8076923076923077,0.8846153846153846,0.9102564102564102,0.2564102564102564,0.7147435897435898
2024-08-07_09,8,0.6250690981621438,0.8461538461538461,0.8333333333333334,0.41025641025641024,0.8333333333333334,0.7307692307692308
2024-08-07_10,8,0.8183013215465542,0.47435897435897434,0.3333333333333333,0.15384615384615385,0.8205128205128205,0.4455128205128205
2024-08-21_01,9,0.06482435421202341,0.7974683544303798,0.7215189873417721,0.7215189873417721,0.9367088607594937,0.7943037974683544
2024-08-21_02,9,0.1318994375843255,0.21518987341772153,0.6075949367088608,0.5822784810126582,0.9113924050632911,0.5791139240506329
2024-08-21_03,9,0.10186908731444094,0.189873417721519,0.21518987341772153,0.5189873417721519,0.8734177215189873,0.44936708860759494
2024-08-21_04,9,0.0915897702890562,0.22784810126582278,0.0379746835443038,0.379746835443038,0.620253164556962,0.31645569620253167
2024-08-21_05,9,0.13549543981668613,0.10126582278481013,0.1518987341772152,0.31645569620253167,0.2911392405063291,0.21518987341772153
2024-08-21_06,9,0.08711128694020351,0.5822784810126582,0.3037974683544304,0.379746835443038,0.35443037974683544,0.40506329113924056
2024-08-21_07,9,0.11799654722414551,0.5949367088607594,0.43037974683544306,0.11392405063291139,0.46835443037974683,0.40189873417721517
2024-08-21_08,9,0.04191275856052197,0.31645569620253167,0.21518987341772153,0.02531645569620253,0.20253164556962025,0.189873417721519
2024-08-21_10,9,0.05392882477478566,0.4177215189873418,0.02531645569620253,0.05063291139240506,0.5316455696202531,0.2563291139240506
2024-08-22_01,10,0.06963241813461164,0.9523809523809523,0.8928571428571429,0.9285714285714286,0.75,0.8809523809523809
2024-08-22_02,10,0.07173156178990062,0.15476190476190477,0.8928571428571429,0.9285714285714286,0.4880952380952381,0.6160714285714286
2024-08-22_03,10,0.08863609575354223,0.15476190476190477,0.32142857142857145,0.8809523809523809,0.25,0.4017857142857143
2024-08-22_04,10,0.16729381873414392,0.10714285714285714,0.047619047619047616,0.6666666666666666,0.05952380952380952,0.22023809523809523
