stage,wafer_macro_mae,wafer_macro_rmse,lot_macro_mae,mean_shift_mae,residual_mae,residual_rmse,median_spatial_correlation,worst_point_error
full_map,0.14585171608035694,0.20043288841721738,0.14213967030343197,0.12204725016742897,0.07877117973578165,0.13197935124853807,0.9997844748778018,0.8032401121237139
mean_shift,0.16085373896590566,0.2169750218607258,0.15737903707338013,0.12204725016742843,0.09913406332440218,0.1518046261449664,0.9997598916441904,0.7715435043209314
oracle_true_mean_pca_reconstruction,0.053497442829311785,0.0931856766901995,0.0526967672494846,3.0351388182908777e-15,0.05349744282931173,0.0931856766901995,0.9999091566825442,0.5348623230514264
oracle_true_mean_zero_residual,0.0991340633244021,0.1518046261449664,0.09813545462259499,3.749129029020192e-15,0.09913406332440217,0.1518046261449664,0.9997598916441904,0.6935340595822406
template,0.3520144117265253,0.39506693450073604,0.35088005018411533,0.34194736552805405,0.09913406332440221,0.1518046261449664,0.9997598916441904,1.0111377660998773
