experiment_key,lot_number,stage,full_map_mae,full_map_rmse,mean_shift_absolute_error,mean_centered_residual_mae,mean_centered_residual_rmse,spatial_correlation_after_mean_removal,center_mean_error,middle_zone_mean_error,edge_mean_error,center_to_edge_difference_error,map_standard_deviation_error,map_range_error,worst_point_absolute_error,p95_point_absolute_error
2024-07-02_03,1,full_map,0.24692393550660252,0.3124525001526235,0.1952171187394502,0.20714254183147407,0.2439607374203738,0.9977647314112714,0.15540652566644297,0.17021897231084893,0.2155679540790345,0.06016142841259153,0.019001673348114867,0.147929969783263,0.7558625391787288,0.5895252232722697
2024-07-02_03,1,mean_shift,0.25306964972342444,0.3295632000524068,0.1952171187394427,0.220491165129066,0.26552246492500975,0.9974529685783465,0.107041749343594,0.13158798703698693,0.24474008051311813,0.13769833116952412,0.06247724326369175,0.02819746835444903,0.8116832402015319,0.6814921009610242
2024-07-02_03,1,oracle_true_mean_pca_reconstruction,0.1910396307618676,0.22668586816783748,7.185263620045957e-16,0.1910396307618676,0.22668586816783748,0.9981265684886447,0.024861911597362507,0.02559765345709053,0.018086375022583923,0.04294828661994643,0.033087821775029,0.304475159183184,0.6538893209198733,0.364730874725383
2024-07-02_03,1,oracle_true_mean_zero_residual,0.22049116512906639,0.2655224649250098,7.105427357601002e-15,0.220491165129066,0.26552246492500975,0.9974529685783465,0.0881753693958558,0.06362913170246287,0.04952296177366122,0.13769833116951702,0.06247724326369175,0.02819746835444903,0.6164661214620821,0.4862749822215744
2024-07-02_03,1,template,0.5500478025885371,0.6107820924948041,0.5500478025885371,0.220491165129066,0.26552246492500975,0.9974529685783465,0.46187243319268845,0.4864186708860814,0.5995707643622339,0.13769833116954544,0.06247724326369175,0.02819746835444903,1.1665139240506264,1.0363227848101186
2024-07-02_04,1,full_map,0.2012042319054522,0.24866068807336442,0.11292626629742467,0.18643972936679606,0.22153960407394918,0.9981102722691941,0.038751676647962086,0.11248755884803074,0.1260004031325863,0.08724872648462423,0.008957556955379697,0.12225915272372134,0.6376556736146526,0.46464227992984064
2024-07-02_04,1,mean_shift,0.2039169404596333,0.2552430687110257,0.11292626629741731,0.1928812172098195,0.2289032164587168,0.9979728588320294,0.015944529860369983,0.09427052945852665,0.13975696359399592,0.12381243373362594,0.011510912941710139,0.06579746835444666,0.7147193540516454,0.47712922746936776
2024-07-02_04,1,oracle_true_mean_pca_reconstruction,0.17235795401850995,0.2076634313930933,3.5127955475780233e-15,0.17235795401850995,0.2076634313930933,0.9984074229342843,0.03361615251372996,0.031423377876024006,0.011102100152022842,0.022514052361707115,0.038599922616498805,0.21435272411050477,0.5548750368779238,0.3474925270037971
2024-07-02_04,1,oracle_true_mean_zero_residual,0.19288121720981974,0.2289032164587168,3.991813122247754e-15,0.1928812172098195,0.2289032164587168,0.9979728588320294,0.09698173643705132,0.018655736838894654,0.026830697296581718,0.12381243373363304,0.011510912941710139,0.06579746835444666,0.6017930877542241,0.40027404067699296
2024-07-02_04,1,template,0.317329554828617,0.38649659737790293,0.3114208362964024,0.1928812172098195,0.2289032164587168,0.9979728588320294,0.21443909985935505,0.2927650994575117,0.3382515335929952,0.12381243373364015,0.011510912941710139,0.06579746835444666,0.9132139240506305,0.6756237974683528
