experiment_key,group_name,time_samples,wavelengths,wavelength_min_nm,wavelength_max_nm,median_step_seconds,effective_sample_rate_hz,maximum_gap_seconds,oes_duration_seconds,process_regular_duration_seconds,duration_difference_seconds,process_active_start_elapsed_seconds,process_active_end_elapsed_seconds,minimum_dictionary_code,maximum_dictionary_code,dictionary_size,wavelength_axis_matches,active_window_covered,passes_integrity_gate,has_direct_89_point_target
2024-07-05_01,Wafer_01,15046,3648,185.89122009277344,883.9669552284213,0.04152393341064453,24.082496956891205,0.14562201499938965,648.4740800857544,648.6000001430511,-0.12592005729675293,29.800000190734863,627.6000001430511,107,61441,61443,True,True,True,True
2024-07-05_02,Wafer_02,15103,3648,185.89122009277344,883.9669552284213,0.04153001308441162,24.078971464984974,0.15409612655639648,648.3929069042206,649.0,-0.607093095779419,30.0,628.0,126,61417,61443,True,True,True,True
2024-07-05_03,Wafer_03,15192,3648,185.89122009277344,883.9669552284213,0.041265010833740234,24.233605657564798,0.1613941192626953,648.9881310462952,649.0,-0.011868953704833984,30.0,628.0,11,61416,61443,True,True,True,True
2024-07-05_04,Wafer_04,15378,3648,185.89122009277344,883.9669552284213,0.041458845138549805,24.120305248690272,0.16594505310058594,659.2562761306763,659.2000000476837,0.05627608299255371,43.39999985694885,638.3999998569489,102,61421,61443,True,True,True,True
2024-07-05_05,Wafer_05,15061,3648,185.89122009277344,883.9669552284213,0.04168701171875,23.988286969253295,0.19287681579589844,648.3205869197845,649.0,-0.6794130802154541,30.0,628.0,119,61411,61443,True,True,True,True
2024-07-05_06,Wafer_06,15065,3648,185.89122009277344,883.9669552284213,0.041368961334228516,24.172712288345608,0.1534879207611084,648.634731054306,649.0,-0.3652689456939697,30.0,628.0,27,61405,61443,True,True,True,True
2024-07-05_07,Wafer_07,14869,3648,185.89122009277344,883.9669552284213,0.04227852821350098,23.652668204298227,0.15644311904907227,649.1516749858856,649.0,0.15167498588562012,30.0,628.0,41,61413,61443,True,True,True,True
2024-07-05_08,Wafer_08,15186,3648,185.89122009277344,883.9669552284213,0.04187202453613281,23.88229399170956,0.14396905899047852,658.6627190113068,659.4000000953674,-0.737281084060669,43.40000009536743,638.4000000953674,93,61407,61443,True,True,True,True
2024-07-05_09,Wafer_09,13871,3648,185.89122009277344,883.9669552284213,0.0426175594329834,23.464506492271372,0.6381521224975586,648.716964006424,648.7999999523163,-0.08303594589233398,30.0,627.7999999523163,82,59649,61443,True,True,True,True
2024-07-05_10,Wafer_10,14968,3648,185.89122009277344,883.9669552284213,0.04164385795593262,24.013145013082035,1.3065989017486572,649.2798991203308,649.0,0.27989912033081055,30.0,628.0,20,61390,61443,True,True,True,True
