budget,policy,comparator,observed_mean_difference,bootstrap_p025,bootstrap_p975,probability_beats_random,replicates
0.0,combined,random,-9.912705577010326e-18,-1.9825411154020653e-17,-1.982541115402065e-18,0.9808,10000
0.1,combined,random,-0.0029241267203365573,-0.015281368570815112,0.004872204865096006,0.6529,10000
0.2,combined,random,-0.00669682449523247,-0.025889940725151436,0.007495427936268907,0.7453,10000
0.3,combined,random,0.0025442980403718907,-0.01214327199198894,0.014482288113821998,0.3327,10000
0.5,combined,random,-0.007171975391901694,-0.020268472803757404,0.00454603239718437,0.8643,10000
