experiment_key,test_lot,wafer_order,mode,feedback,policy,budget,replicate,risk,measured,vm_error_before_measurement,system_error
2024-07-11_10,4,10,ranking_only,F0,oracle,0.0,0,0.6,False,0.22264525859512227,0.22264525859512227
2024-07-11_01,4,1,direct_substitution,F0,oracle,0.0,0,0.5,False,0.22093844780964278,0.22093844780964278
2024-07-11_02,4,2,direct_substitution,F0,oracle,0.0,0,1.0,False,0.4050493869278443,0.4050493869278443
2024-07-11_03,4,3,direct_substitution,F0,oracle,0.0,0,0.7,False,0.24730692767245452,0.24730692767245452
2024-07-11_04,4,4,direct_substitution,F0,oracle,0.0,0,0.2,False,0.18120608158432655,0.18120608158432655
2024-07-11_05,4,5,direct_substitution,F0,oracle,0.0,0,0.8,False,0.2911589887446905,0.2911589887446905
2024-07-11_06,4,6,direct_substitution,F0,oracle,0.0,0,0.1,False,0.12914644873128056,0.12914644873128056
2024-07-11_07,4,7,direct_substitution,F0,oracle,0.0,0,0.4,False,0.21894232278277131,0.21894232278277131
2024-07-11_08,4,8,direct_substitution,F0,oracle,0.0,0,0.3,False,0.2099225304385408,0.2099225304385408
2024-07-11_09,4,9,direct_substitution,F0,oracle,0.0,0,0.9,False,0.35452399117134203,0.35452399117134203
2024-07-11_10,4,10,direct_substitution,F0,oracle,0.0,0,0.6,False,0.22264525859512227,0.22264525859512227
2024-07-11_01,4,1,causal_feedback,F0,combined,0.0,0,0.7931034482758621,False,0.22093844780964286,0.22093844780964286
2024-07-11_02,4,2,causal_feedback,F0,combined,0.0,0,0.6331564986737401,False,0.4050493869278443,0.4050493869278443
2024-07-11_03,4,3,causal_feedback,F0,combined,0.0,0,0.976923076923077,False,0.24730692767245452,0.24730692767245452
2024-07-11_04,4,4,causal_feedback,F0,combined,0.0,0,0.8477453580901857,False,0.18120608158432655,0.18120608158432655
2024-07-11_05,4,5,causal_feedback,F0,combined,0.0,0,0.9700265251989391,False,0.29115898874469043,0.29115898874469043
2024-07-11_06,4,6,causal_feedback,F0,combined,0.0,0,0.8793103448275863,False,0.12914644873128056,0.12914644873128056
2024-07-11_07,4,7,causal_feedback,F0,combined,0.0,0,0.716976127320955,False,0.21894232278277131,0.21894232278277131
2024-07-11_08,4,8,causal_feedback,F0,combined,0.0,0,0.5870026525198939,False,0.20992253043854064,0.20992253043854064
2024-07-11_09,4,9,causal_feedback,F0,combined,0.0,0,0.7084880636604776,False,0.35452399117134215,0.35452399117134215
2024-07-11_10,4,10,causal_feedback,F0,combined,0.0,0,0.9615384615384617,False,0.22264525859512235,0.22264525859512235
2024-07-11_01,4,1,causal_feedback,F1,combined,0.0,0,0.7931034482758621,False,0.22093844780964286,0.22093844780964286
2024-07-11_02,4,2,causal_feedback,F1,combined,0.0,0,0.6331564986737401,False,0.4050493869278443,0.4050493869278443
2024-07-11_03,4,3,causal_feedback,F1,combined,0.0,0,0.976923076923077,False,0.24730692767245452,0.24730692767245452
2024-07-11_04,4,4,causal_feedback,F1,combined,0.0,0,0.8477453580901857,False,0.18120608158432655,0.18120608158432655
2024-07-11_05,4,5,causal_feedback,F1,combined,0.0,0,0.9700265251989391,False,0.29115898874469043,0.29115898874469043
2024-07-11_06,4,6,causal_feedback,F1,combined,0.0,0,0.8793103448275863,False,0.12914644873128056,0.12914644873128056
2024-07-11_07,4,7,causal_feedback,F1,combined,0.0,0,0.716976127320955,False,0.21894232278277131,0.21894232278277131
2024-07-11_08,4,8,causal_feedback,F1,combined,0.0,0,0.5870026525198939,False,0.20992253043854064,0.20992253043854064
2024-07-11_09,4,9,causal_feedback,F1,combined,0.0,0,0.7084880636604776,False,0.35452399117134215,0.35452399117134215
2024-07-11_10,4,10,causal_feedback,F1,combined,0.0,0,0.9615384615384617,False,0.22264525859512235,0.22264525859512235
2024-07-11_01,4,1,causal_feedback,F2,combined,0.0,0,0.7931034482758621,False,0.22093844780964286,0.22093844780964286
2024-07-11_02,4,2,causal_feedback,F2,combined,0.0,0,0.6331564986737401,False,0.4050493869278443,0.4050493869278443
2024-07-11_03,4,3,causal_feedback,F2,combined,0.0,0,0.976923076923077,False,0.24730692767245452,0.24730692767245452
2024-07-11_04,4,4,causal_feedback,F2,combined,0.0,0,0.8477453580901857,False,0.18120608158432655,0.18120608158432655
2024-07-11_05,4,5,causal_feedback,F2,combined,0.0,0,0.9700265251989391,False,0.29115898874469043,0.29115898874469043
2024-07-11_06,4,6,causal_feedback,F2,combined,0.0,0,0.8793103448275863,False,0.12914644873128056,0.12914644873128056
2024-07-11_07,4,7,causal_feedback,F2,combined,0.0,0,0.716976127320955,False,0.21894232278277131,0.21894232278277131
2024-07-11_08,4,8,causal_feedback,F2,combined,0.0,0,0.5870026525198939,False,0.20992253043854064,0.20992253043854064
2024-07-11_09,4,9,causal_feedback,F2,combined,0.0,0,0.7084880636604776,False,0.35452399117134215,0.35452399117134215
2024-07-11_10,4,10,causal_feedback,F2,combined,0.0,0,0.9615384615384617,False,0.22264525859512235,0.22264525859512235
2024-07-11_01,4,1,causal_feedback,F3,combined,0.0,0,0.7931034482758621,False,0.22093844780964286,0.22093844780964286
2024-07-11_02,4,2,causal_feedback,F3,combined,0.0,0,0.6331564986737401,False,0.4050493869278443,0.4050493869278443
2024-07-11_03,4,3,causal_feedback,F3,combined,0.0,0,0.976923076923077,False,0.24730692767245452,0.24730692767245452
2024-07-11_04,4,4,causal_feedback,F3,combined,0.0,0,0.8477453580901857,False,0.18120608158432655,0.18120608158432655
2024-07-11_05,4,5,causal_feedback,F3,combined,0.0,0,0.9700265251989391,False,0.29115898874469043,0.29115898874469043
2024-07-11_06,4,6,causal_feedback,F3,combined,0.0,0,0.8793103448275863,False,0.12914644873128056,0.12914644873128056
2024-07-11_07,4,7,causal_feedback,F3,combined,0.0,0,0.716976127320955,False,0.21894232278277131,0.21894232278277131
2024-07-11_08,4,8,causal_feedback,F3,combined,0.0,0,0.5870026525198939,False,0.20992253043854064,0.20992253043854064
2024-07-11_09,4,9,causal_feedback,F3,combined,0.0,0,0.7084880636604776,False,0.35452399117134215,0.35452399117134215
2024-07-11_10,4,10,causal_feedback,F3,combined,0.0,0,0.9615384615384617,False,0.22264525859512235,0.22264525859512235
2024-07-11_01,4,1,ranking_only,F0,no_metrology,0.1,0,,False,0.22093844780964278,0.22093844780964278
2024-07-11_02,4,2,ranking_only,F0,no_metrology,0.1,0,,False,0.4050493869278443,0.4050493869278443
2024-07-11_03,4,3,ranking_only,F0,no_metrology,0.1,0,,False,0.24730692767245452,0.24730692767245452
