mode,feedback,policy,budget,lot_macro_system_mae,lot_macro_unmeasured_mae,mean_measured_fraction,mean_high_error_capture,worst_lot_mae,mean_p95_system_error,cumulative_error,mean_updates,mean_update_runtime_seconds,mean_recovery_wafer_count
causal_feedback,F0,combined,0.0,0.17369843616464947,0.17369843616464947,0.0,0.0,0.24808403844580154,0.3401358298846295,10.823399138611117,0.0,0.003855242856973616,2.0
causal_feedback,F0,combined,0.1,0.15186620167195125,0.16903270821277222,0.09682539682539683,0.07142857142857142,0.22335334567855608,0.3079375824068026,9.38722479816639,0.0,0.004226100000388604,2.0
causal_feedback,F0,combined,0.2,0.12894205684041785,0.16134771322540717,0.20555555555555555,0.35714285714285715,0.21043870080542804,0.2625310935765692,8.049790057277889,0.0,0.0036114571427918107,2.0
causal_feedback,F0,combined,0.3,0.1223467644949429,0.1756300022122921,0.30238095238095236,0.14285714285714285,0.18635092056204092,0.28590551253999985,7.5093068719427505,0.0,0.0050856714291772475,2.0
causal_feedback,F0,combined,0.5,0.07602574004300647,0.15023378899699194,0.4920634920634921,0.5,0.1285991814354049,0.2163195325354105,4.792970986955921,0.0,0.004899257142824354,2.0
causal_feedback,F1,combined,0.0,0.17369843616464947,0.17369843616464947,0.0,0.0,0.24808403844580154,0.3401358298846295,10.823399138611117,0.0,0.0034869428571775124,2.0
causal_feedback,F1,combined,0.1,0.151493317378844,0.16861839233154194,0.09682539682539683,0.07142857142857142,0.22074315562680535,0.310820988374032,9.361122897648881,0.8571428571428571,0.003642842857256515,2.0
causal_feedback,F1,combined,0.2,0.1285156974265687,0.1608147639580957,0.20555555555555555,0.35714285714285715,0.20745418490848397,0.2649797386100482,8.019944898308449,1.7142857142857142,0.002958785714456878,2.0
causal_feedback,F1,combined,0.3,0.12145223632042532,0.17444713460110473,0.30238095238095236,0.14285714285714285,0.17819141435037392,0.27635797315241734,7.498860594303752,2.5714285714285716,0.004559357142560267,2.0
causal_feedback,F1,combined,0.5,0.07333404073362527,0.1449466681027607,0.4920634920634921,0.5714285714285714,0.11600561648290822,0.20685107697022123,4.707809529652804,4.142857142857143,0.005277357142923782,2.0
causal_feedback,F2,combined,0.0,0.17369843616464947,0.17369843616464947,0.0,0.0,0.24808403844580154,0.3401358298846295,10.823399138611117,0.0,0.0033108714285065488,2.0
causal_feedback,F2,combined,0.1,0.16355150036942073,0.18201637343218272,0.09682539682539683,0.07142857142857142,0.3051504365608424,0.3297189773584456,10.205195706989253,0.8571428571428571,0.005478857143056562,2.0
causal_feedback,F2,combined,0.2,0.13098343465072143,0.16389943548828662,0.20555555555555555,0.35714285714285715,0.224728345477553,0.26497154025179026,8.19268650399914,1.7142857142857142,0.008223328571537942,2.0
causal_feedback,F2,combined,0.3,0.12154076937271678,0.17448283947902496,0.30238095238095236,0.21428571428571427,0.19613273414663673,0.26958109111258033,7.468669314950507,2.5714285714285716,0.01289637142846394,3.4
causal_feedback,F2,combined,0.5,0.07713737608222114,0.15252968438570616,0.4920634920634921,0.5,0.1329014831716118,0.21325052129958572,4.909066024379148,4.142857142857143,0.019891271428475323,2.0
causal_feedback,F3,combined,0.0,0.17369843616464947,0.17369843616464947,0.0,0.0,0.24808403844580154,0.3401358298846295,10.823399138611117,0.0,0.006114371428598783,2.0
causal_feedback,F3,combined,0.1,0.1595110726334983,0.1775270092811578,0.09682539682539683,0.07142857142857142,0.2768674424093854,0.3270526223510517,9.922365765474682,0.8571428571428571,0.007303228571670063,2.0
causal_feedback,F3,combined,0.2,0.12705150215972674,0.15898451987454326,0.20555555555555555,0.35714285714285715,0.19720481804059026,0.2646528342484558,7.917451229629512,1.7142857142857142,0.011069700000267144,2.0
causal_feedback,F3,combined,0.3,0.11855753581095076,0.1702089280110802,0.30238095238095236,0.2857142857142857,0.17838408793258098,0.26960663617690256,7.263671520766071,2.5714285714285716,0.020365099999773,2.2
causal_feedback,F3,combined,0.5,0.07606319444732047,0.15042216250977455,0.4920634920634921,0.5714285714285714,0.1281611413006996,0.21146981530511844,4.8381662140146355,4.142857142857143,0.03143964285741926,2.2
direct_substitution,F0,combined,0.0,0.17369843616464956,0.17369843616464956,0.0,0.0,0.24808403844580154,0.3401358298846295,10.823399138611121,0.0,0.0,2.0
direct_substitution,F0,combined,0.1,0.15186620167195133,0.16903270821277228,0.09682539682539683,0.07142857142857142,0.22335334567855608,0.3079375824068026,9.387224798166393,0.0,0.0,2.0
direct_substitution,F0,combined,0.2,0.1289420568404179,0.16134771322540725,0.20555555555555555,0.35714285714285715,0.21043870080542804,0.2625310935765692,8.049790057277892,0.0,0.0,2.0
direct_substitution,F0,combined,0.3,0.1223467644949429,0.1756300022122921,0.30238095238095236,0.14285714285714285,0.18635092056204092,0.28590551253999985,7.5093068719427505,0.0,0.0,2.0
direct_substitution,F0,combined,0.5,0.07602574004300647,0.15023378899699194,0.4920634920634921,0.5,0.1285991814354049,0.2163195325354105,4.792970986955921,0.0,0.0,2.0
