held_out_lot,family,training_wafers,test_wafers,retained_features,mean_parameter,mean_fitted_model,mean_inner_lot_macro_mae,residual_parameter,residual_fitted_model,residual_inner_lot_macro_rmse,residual_components,residual_explained_variance
2,process_only_pls,29,10,241,1,,0.25908150330879,1,,0.344154357607891,2,0.9808429528933801
4,process_only_pls,29,10,235,2,,0.187378540152789,1,,0.3411029411661248,2,0.9795383489184702
6,process_only_pls,29,10,241,1,,0.20746473699578757,2,,0.09368351661074537,2,0.9325294870036375
9,process_only_pls,30,9,241,1,,0.264518579192277,1,,0.33447084520351106,2,0.9832744822579009
2,process_oes_pls,29,10,25777,2,,0.2686577757585397,4,,0.26890174251134047,2,0.9808429528933801
4,process_oes_pls,29,10,25771,1,,0.37559850398714656,4,,0.28801532991428525,2,0.9795383489184702
6,process_oes_pls,29,10,25777,1,,0.30199131474705654,1,,0.11788325308071795,2,0.9325294870036375
9,process_oes_pls,30,9,25777,2,,0.3722952434021783,2,,0.2743278520756141,2,0.9832744822579009
